Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
frontwoman,s,gendered,function,function,"['front', 'figurehead', 'fronts', 'figureheads']","['fronts', 'figureheads']","['front', 'figurehead', 'fronts', 'figureheads']"
garbageman,s,gendered,function,function,"['garbage collector', 'waste collector', 'trash collector', 'waste collection', 'garbage collectors', 'waste collectors', 'trash collectors']","['garbage collectors', 'waste collectors', 'trash collectors', 'waste collection']","['waste collection', 'garbage collector', 'waste collector', 'trash collector', 'garbage collectors', 'waste collectors', 'trash collectors']"
garbagewoman,s,gendered,function,function,"['garbage collector', 'waste collector', 'trash collector', 'waste collection', 'garbage collectors', 'waste collectors', 'trash collectors']","['garbage collectors', 'waste collectors', 'trash collectors', 'waste collection']","['waste collection', 'garbage collector', 'waste collector', 'trash collector', 'garbage collectors', 'waste collectors', 'trash collectors']"
gun-man,s,gendered,function,function,"['shooter', 'they', 'shooters']",['shooters'],"['shooter', 'they', 'shooters']"
gunman,s,gendered,function,function,"['shooter', 'they', 'shooters']",['shooters'],"['shooter', 'they', 'shooters']"
guy,s,gendered,function,function,"['person', 'friend', 'you', 'team', 'crowd', 'people', 'folks', 'friends', 'all', 'you all', 'everyone', 'teammates', 'you']","['people', 'folks', 'friends', 'all', 'you all', 'everyone', 'teammates', 'you', 'team', 'crowd']","['person', 'friend', 'you', 'team', 'crowd', 'people', 'folks', 'friends', 'all', 'you all', 'everyone', 'teammates', 'you']"
handyman,s,gendered,titles,generic_plural,"['maintenance person', 'fixer', 'they', 'maintenance', 'maintenance persons', 'fixers']","['maintenance persons', 'fixers', 'maintenance']","['maintenance', 'maintenance person', 'fixer', 'they', 'maintenance persons', 'fixers']"
head of,s|,gendered,leadership,generic_plural,"['person responsible for', 'heads of', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)']","['heads of', 'people who support and motivate the team(...)', 'people who communicate a shared vision(...)', 'people who help identify milestones(...)', 'people who offer guidance(...)', 'people who take a coaching role to help a team work toward shared goals(...)']","['person responsible for', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)', 'heads of']"
heroine,s,gendered,female_stereotype,female_stereotype,"['person of the hour', 'person making sacrifices for their team', 'role model', 'heroix', 'people of the hour', 'people making sacrifices for their team', 'role models', 'heroix']","['people of the hour', 'people making sacrifices for their team', 'role models', 'heroix']","['person of the hour', 'person making sacrifices for their team', 'role model', 'heroix', 'people of the hour', 'people making sacrifices for their team', 'role models', 'heroix']"
histrionics,=s,gendered,female_stereotype,female_stereotype,"['histrionic personality disorder', 'person with histrionic personality disorder (HPD)(...)', 'melodramatic behavior(...)', 'flair for the dramatic(...)', 'outbursts(...)']",['histrionic personality disorder'],"['histrionic personality disorder', 'person with histrionic personality disorder (HPD)(...)', 'melodramatic behavior(...)', 'flair for the dramatic(...)', 'outbursts(...)']"
housekeeping,=s,gendered,female_stereotype,female_stereotype,"['maintenance', 'cleanup', 'household management', 'domestic work', 'running of the home']",[],"['maintenance', 'cleanup', 'household management', 'domestic work', 'running of the home']"
