Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
head of,s|,gendered,leadership,generic_plural,"['person responsible for', 'heads of', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)']","['heads of', 'people who support and motivate the team(...)', 'people who communicate a shared vision(...)', 'people who help identify milestones(...)', 'people who offer guidance(...)', 'people who take a coaching role to help a team work toward shared goals(...)']","['person responsible for', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)', 'heads of']",
pink leadership,a|s,gendered,leadership,leadership,"['communal leadership', 'servant leadership', 'transformational leadership', 'communal leaderships', 'servant leaderships']","['communal leaderships', 'servant leaderships']","['communal leadership', 'servant leadership', 'transformational leadership', 'communal leaderships', 'servant leaderships']",
take the lead on,v||~s|,gendered,leadership,leadership,"['head up', 'take responsibility for', 'guide', 'communicate expectations and shared goals for', 'set the course', 'inspire']",[],"['head up', 'take responsibility for', 'guide', 'communicate expectations and shared goals for', 'set the course', 'inspire']",
alpha animal,a|s,gendered,male_stereotype,male_stereotype,"['facilitator', 'mentor', 'supporter', 'facilitators', 'mentors', 'supporters', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)', 'someone who communicates expectations(...)', 'person who shapes the company strategy(...)', 'someone who chooses a course of action with the team(...)', ""role that charts the company's course(...)""]","['facilitators', 'mentors', 'supporters', 'people who support and motivate the team(...)', 'people who communicate a shared vision(...)', 'those who help identify milestones(...)', 'people who offer guidance(...)', 'people who take a coaching role to help a team work toward shared goals(...)', 'those who communicate expectations(...)', 'people who shape the company strategy(...)', 'those who choose a course of action with the team(...)', ""roles that chart the company's course(...)""]","['facilitator', 'mentor', 'supporter', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)', 'someone who communicates expectations(...)', 'person who shapes the company strategy(...)', 'someone who chooses a course of action with the team(...)', ""role that charts the company's course(...)"", 'facilitators', 'mentors', 'supporters']",
alpha dog,a|s,gendered,male_stereotype,male_stereotype,"['facilitator', 'mentor', 'supporter', 'facilitators', 'mentors', 'supporters', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)', 'someone who communicates expectations(...)', 'person who shapes the company strategy(...)', 'someone who chooses a course of action with the team(...)', ""role that charts the company's course(...)""]","['facilitators', 'mentors', 'supporters', 'people who support and motivate the team(...)', 'people who communicate a shared vision(...)', 'those who help identify milestones(...)', 'people who offer guidance(...)', 'people who take a coaching role to help a team work toward shared goals(...)', 'those who communicate expectations(...)', 'people who shape the company strategy(...)', 'those who choose a course of action with the team(...)', ""roles that chart the company's course(...)""]","['facilitator', 'mentor', 'supporter', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)', 'someone who communicates expectations(...)', 'person who shapes the company strategy(...)', 'someone who chooses a course of action with the team(...)', ""role that charts the company's course(...)"", 'facilitators', 'mentors', 'supporters']",
alpha person,a|s,gendered,male_stereotype,male_stereotype,"['facilitator', 'mentor', 'supporter', 'facilitators', 'mentors', 'supporters', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)', 'someone who communicates expectations(...)', 'person who shapes the company strategy(...)', 'someone who chooses a course of action with the team(...)', ""role that charts the company's course(...)""]","['facilitators', 'mentors', 'supporters', 'people who support and motivate the team(...)', 'people who communicate a shared vision(...)', 'those who help identify milestones(...)', 'people who offer guidance(...)', 'people who take a coaching role to help a team work toward shared goals(...)', 'those who communicate expectations(...)', 'people who shape the company strategy(...)', 'those who choose a course of action with the team(...)', ""roles that chart the company's course(...)""]","['facilitator', 'mentor', 'supporter', 'person who supports and motivates the team(...)', 'someone who communicates a shared vision(...)', 'someone who helps identify milestones(...)', 'person who offers guidance(...)', 'person who takes a coaching role to help a team work toward shared goals(...)', 'someone who communicates expectations(...)', 'person who shapes the company strategy(...)', 'someone who chooses a course of action with the team(...)', ""role that charts the company's course(...)"", 'facilitators', 'mentors', 'supporters']",
average Joe,a|~s,gendered,male_stereotype,male_stereotype,"['people in the street', 'average person', 'general public']",[],"['people in the street', 'average person', 'general public']",
man of few words,~s||a|~s,gendered,male_stereotype,male_stereotype,"['person of few words', 'concise communicator', 'laconic personality', 'taciturn person', 'people of few words', 'concise communicators', 'laconic personalities', 'taciturn people', 'someone who says little(...)', 'someone who tends to stray on the quieter side(...)', 'person who does not speak much(...)', 'person of action rather than words(...)', 'someone who prefers Cliffs Notes over epics(...)']","['people of few words', 'concise communicators', 'laconic personalities', 'taciturn people', 'people who say little(...)', 'people who stray on the quieter side(...)', ""people who don't speak much(...)"", 'those of action rather than words(...)', 'those who prefer Cliffs Notes over epics(...)']","['person of few words', 'concise communicator', 'laconic personality', 'taciturn person', 'someone who says little(...)', 'someone who tends to stray on the quieter side(...)', 'person who does not speak much(...)', 'person of action rather than words(...)', 'someone who prefers Cliffs Notes over epics(...)', 'people of few words', 'concise communicators', 'laconic personalities', 'taciturn people']",
man of his word,~s|||~s,gendered,male_stereotype,male_stereotype,"['someone true to their word(...)', 'someone whose word is their bond(...)', 'someone who always keeps their promises(...)']",[],"['someone true to their word(...)', 'someone whose word is their bond(...)', 'someone who always keeps their promises(...)']",
man of the hour,~s|||~s,gendered,male_stereotype,male_stereotype,"['person of the hour', 'woman of the hour', 'people of the hour', 'women of the hour']","['people of the hour', 'women of the hour']","['person of the hour', 'woman of the hour', 'people of the hour', 'women of the hour']",
