Lemma,Word_Type,Category,Primary_subcategory,Alt_split
beatch,s,openly_discriminating,offensive_language,['-']
beep face,~s|s,openly_discriminating,offensive_language,['-']
beeyatch,s,openly_discriminating,offensive_language,['-']
beyotch,s,openly_discriminating,offensive_language,['-']
biatch,s,openly_discriminating,offensive_language,['-']
binch,s,openly_discriminating,offensive_language,['-']
biotch,s,openly_discriminating,offensive_language,['-']
bitch ass,~s|s,openly_discriminating,offensive_language,['-']
bottom feeder,~s|s,openly_discriminating,offensive_language,['-']
bridezilla,s,openly_discriminating,offensive_language,['-']
buffalo,s,openly_discriminating,offensive_language,['-']
buffoon,s,openly_discriminating,offensive_language,['-']
bugaboo,s,openly_discriminating,offensive_language,['-']
bullshit,s,openly_discriminating,offensive_language,['-']
butt-head,s,openly_discriminating,offensive_language,['-']
butt-munch,s,openly_discriminating,offensive_language,['-']
c word,|s,openly_discriminating,offensive_language,['-']
chicken head,~s|s,openly_discriminating,offensive_language,['-']
chump,s,openly_discriminating,offensive_language,['-']
cow,s,openly_discriminating,offensive_language,['-']
crap,s,openly_discriminating,offensive_language,['-']
creep,s,openly_discriminating,offensive_language,['-']
crumb bum,~s|s,openly_discriminating,offensive_language,['-']
d bag,~s|s,openly_discriminating,offensive_language,['-']
"devil, the",s||,openly_discriminating,offensive_language,['-']
dick,s,openly_discriminating,offensive_language,['-']
dick face,~s|s,openly_discriminating,offensive_language,['-']
dick smack,~s|s,openly_discriminating,offensive_language,['-']
dick wad,~s|s,openly_discriminating,offensive_language,['-']
dickhead,s,openly_discriminating,offensive_language,['-']
dill hole,~s|s,openly_discriminating,offensive_language,['-']
ding-head,s,openly_discriminating,offensive_language,['-']
dip shit,~s|s,openly_discriminating,offensive_language,['-']
dipstick,s,openly_discriminating,offensive_language,['-']
dirtwad,s,openly_discriminating,offensive_language,['-']
doosh,s,openly_discriminating,offensive_language,['-']
douche,s,openly_discriminating,offensive_language,['-']
douche b,~s|s,openly_discriminating,offensive_language,['-']
douche bag,~s|s,openly_discriminating,offensive_language,['-']
douche bagel,~s|s,openly_discriminating,offensive_language,['-']
douche canoe,~s|s,openly_discriminating,offensive_language,['-']
douche dick,~s|s,openly_discriminating,offensive_language,['-']
douche nozzle,~s|s,openly_discriminating,offensive_language,['-']
doucher,s,openly_discriminating,offensive_language,['-']
douchey,s,openly_discriminating,offensive_language,['-']
doush,s,openly_discriminating,offensive_language,['-']
dump truck,~s|s,openly_discriminating,offensive_language,['-']
durge,s,openly_discriminating,offensive_language,['-']
fecker,s,openly_discriminating,offensive_language,['-']
focker,s,openly_discriminating,offensive_language,['-']
fuck,s,openly_discriminating,offensive_language,['-']
fuck face,~s|s,openly_discriminating,offensive_language,['-']
fuck head,~s|s,openly_discriminating,offensive_language,['-']
fuck stain,~s|s,openly_discriminating,offensive_language,['-']
fuck stick,~s|s,openly_discriminating,offensive_language,['-']
fuck up,~s|s,openly_discriminating,offensive_language,['-']
fucker,s,openly_discriminating,offensive_language,['-']
fuckhead,s,openly_discriminating,offensive_language,['-']
fuckin,a,openly_discriminating,offensive_language,['-']
fucking,a,openly_discriminating,offensive_language,['-']
fucko,s,openly_discriminating,offensive_language,['-']
fucksqueek,s,openly_discriminating,offensive_language,['-']
futhermucker,s,openly_discriminating,offensive_language,['-']
gobshite,s,openly_discriminating,offensive_language,['-']
goober,s,openly_discriminating,offensive_language,['-']
gooberhead,s,openly_discriminating,offensive_language,['-']
gronk,s,openly_discriminating,offensive_language,['-']
hairbag,s,openly_discriminating,offensive_language,['-']
horse's petute,~s|||s,openly_discriminating,offensive_language,['-']
hose beast,~s|s,openly_discriminating,offensive_language,['-']
hoser,s,openly_discriminating,offensive_language,['-']
j-cat,s,openly_discriminating,offensive_language,['-']
jabroni,s,openly_discriminating,offensive_language,['-']
jabronie,s,openly_discriminating,offensive_language,['-']
jack,s,openly_discriminating,offensive_language,['-']
jack hole,~s|s,openly_discriminating,offensive_language,['-']
jack off,|,openly_discriminating,offensive_language,['-']
jack wagon,~s|s,openly_discriminating,offensive_language,['-']
jack-shit,s,openly_discriminating,offensive_language,['-']
jackass,s,openly_discriminating,offensive_language,['-']
jackhole,s,openly_discriminating,offensive_language,['-']
jackwagon,s,openly_discriminating,offensive_language,['-']
jag-off,s,openly_discriminating,offensive_language,['-']
jag-wagon,s,openly_discriminating,offensive_language,['-']
jerk,s,openly_discriminating,offensive_language,['-']
jerk off,|,openly_discriminating,offensive_language,['-']
jerk-ass,s,openly_discriminating,offensive_language,['-']
jerk-face,s,openly_discriminating,offensive_language,['-']
jerkwad,s,openly_discriminating,offensive_language,['-']
jork,s,openly_discriminating,offensive_language,['-']
knob,s,openly_discriminating,offensive_language,['-']
knobhead,s,openly_discriminating,offensive_language,['-']
kutta,s,openly_discriminating,offensive_language,['-']
lame-ass,s,openly_discriminating,offensive_language,['-']
lame-o,s,openly_discriminating,offensive_language,['-']
larry,s,openly_discriminating,offensive_language,['-']
llama,s,openly_discriminating,offensive_language,['-']
louse,s,openly_discriminating,offensive_language,['-']
Melvin,s,openly_discriminating,offensive_language,['-']
mo fo,|,openly_discriminating,offensive_language,['-']
mofo,s,openly_discriminating,offensive_language,['-']
mole,s,openly_discriminating,offensive_language,['-']
moll,s,openly_discriminating,offensive_language,['-']
mothafucka,s,openly_discriminating,offensive_language,['-']
mother fucker,~s|s,openly_discriminating,offensive_language,['-']
mother trucker,~s|s,openly_discriminating,offensive_language,['-']
nugget,s,openly_discriminating,offensive_language,['-']
oxygen thief,~s|s,openly_discriminating,offensive_language,['-']
pay lay,~s|s,openly_discriminating,offensive_language,['-']
penis-face,s,openly_discriminating,offensive_language,['-']
Peter,s,openly_discriminating,offensive_language,['-']
pickle fucker,~s|s,openly_discriminating,offensive_language,['-']
piece of shit,s||~s,openly_discriminating,offensive_language,['-']
pieon,s,openly_discriminating,offensive_language,['-']
piss-ant,s,openly_discriminating,offensive_language,['-']
pisshead,s,openly_discriminating,offensive_language,['-']
PITA,~,openly_discriminating,offensive_language,['-']
poophead,s,openly_discriminating,offensive_language,['-']
psycho-bitch,s,openly_discriminating,offensive_language,['-']
pud whacker,~s|s,openly_discriminating,offensive_language,['-']
puke,s,openly_discriminating,offensive_language,['-']
putz,s,openly_discriminating,offensive_language,['-']
queaf,s,openly_discriminating,offensive_language,['-']
queef,s,openly_discriminating,offensive_language,['-']
rat,s,openly_discriminating,offensive_language,['-']
raunch,s,openly_discriminating,offensive_language,['-']
reject,s,openly_discriminating,offensive_language,['-']
sack of shit,s||~s,openly_discriminating,offensive_language,['-']
scag,s,openly_discriminating,offensive_language,['-']
schlong,s,openly_discriminating,offensive_language,['-']
schmuck,s,openly_discriminating,offensive_language,['-']
scrote,s,openly_discriminating,offensive_language,['-']
scrub,s,openly_discriminating,offensive_language,['-']
scrubb,s,openly_discriminating,offensive_language,['-']
scum of the earth,s|||~s,openly_discriminating,offensive_language,['-']
scum-bucket,s,openly_discriminating,offensive_language,['-']
scumbag,s,openly_discriminating,offensive_language,['-']
shit fucker,~s|s,openly_discriminating,offensive_language,['-']
shitface,s,openly_discriminating,offensive_language,['-']
shitfucker,s,openly_discriminating,offensive_language,['-']
shithead,s,openly_discriminating,offensive_language,['-']
shmuck,s,openly_discriminating,offensive_language,['-']
sick fuck,a|s,openly_discriminating,offensive_language,['-']
skag,s,openly_discriminating,offensive_language,['-']
sleazeball,s,openly_discriminating,offensive_language,['-']
slimebag,s,openly_discriminating,offensive_language,['-']
slimeball,s,openly_discriminating,offensive_language,['-']
slitch,s,openly_discriminating,offensive_language,['-']
slub,s,openly_discriminating,offensive_language,['-']
