Lemma,Word_Type,Category,Primary_subcategory,Alt_split
CPU,~,style,advanced_abbreviation,"['Cost-per-Unit (CPU)', 'Central Processing Unit (CPU)', 'Stückkosten', 'Prozessor']"
CR,~,style,advanced_abbreviation,"['Conversion Rate (CR)', 'Credit (CR)', 'Konversionsrate', 'Umwandlungsquote', 'Kredit']"
CRM,~,style,advanced_abbreviation,"['Customer Relationship Management', 'Customer Relationship Management (CRM)', 'Kundenbeziehungsmanagement', 'Kundenpflege', 'Beziehungsmarketing']"
CRO,~,style,advanced_abbreviation,"['Conversion Rate Optimization', 'Conversion Rate Optimization (CRO)', 'Konversionsoptimierung']"
CRUD,~,style,advanced_abbreviation,"['Create, Read, Update, Delete (CRUD)', 'CRUD-Operationen', 'Datensatz anlegen, lesen, aktualisieren, löschen']"
CSD,~,style,advanced_abbreviation,"['Christopher Street Day', 'Christopher Street Day (CSD)']"
CSO,~,style,advanced_abbreviation,"['Chief Security Officer', 'Chief Security Officer (CSO)', 'Konzernverantwortlich~e~/~Konzernverantwortlicher für Sicherheit', 'Leiter~in~/~Leiter der Sicherheitsabteilung', 'Konzernverantwortliche für Sicherheit', 'Leiter~innen~ und ~Leiter von Sicherheitsabteilungen']"
CSR,~,style,advanced_abbreviation,"['Corporate Social Responsibility', 'Corporate Social Responsibility (CSR)', 'Verantwortung von Unternehmen für ihre Auswirkungen auf die Gesellschaft', 'gesellschaftliche Unternehmensverantwortung', 'unternehmerische Sozialveranwortung']"
CSS,~,style,advanced_abbreviation,"['Cascading Style Sheet', 'Cascading Style Sheet (CSS)', 'Sprache für Kaskadenstilvorlagen', 'Sprache für Seitenlayouts im World Wide Web']"
CT,~,style,advanced_abbreviation,"['Capitalization Table', 'Capitalization Table (CT)', 'tabellarische Aufstellung der Besitzverhältnisse im Unternehmen', 'Liste aller Beteiligungen am Unternehmen', 'Darstellung der Eigentumsstruktur']"
CTA,~,style,advanced_abbreviation,"['Call-to-Action', 'Call-to-Action (CTA)', 'Aufruf zum Handeln', 'Handlungsaufforderung']"
