Lemma,Word_Type,Category,Primary_subcategory,Alt_split
Schindluderei betreiben,s+v,style,exaggerating,"['schlecht behandeln', 'Misswirtschaft treiben', 'misshandeln', 'ausbeuten', 'nicht angemessen pflegen']"
schlaue Köpfe,a+s,style,exaggerating,"['Leute mit Durchblick', 'aufmerksame Menschen', 'erfindungsreiche Menschen', 'Menschen mit Blick fürs Wesentliche(...)', 'Menschen, der Erlerntes rasch anwenden können(...)', 'Menschen, die mitdenken(...)', 'Leute, die Erfahrung haben(...)', 'Menschen mit verschiedenen Perspektiven(...)']"
schlauer Kopf,a+s,style,exaggerating,"['jemand mit Durchblick', 'aufmerksame Person', 'erfindungsreicher Menschen', 'Mensch mit Blick fürs Wesentliche(...)', 'Person, die Erlerntes rasch anwenden kann(...)', 'aufmerksame Person, die mitdenkt(...)', 'jemand mit Erfahrung(...)', 'Mensch mit verschiedenen Perspektiven(...)']"
über dem Durchschnitt,a,style,exaggerating,"['viel', 'ausgesprochen', 'hochgradig', 'mehr als', 'zutiefst', 'mit Feuereifer']"
allem Anschein nach,adv,style,filler,['-']
an sich,adv,style,filler,['-']
aufs Neue,adv,style,filler,['-']
bei weitem,adv,style,filler,['-']
dann und wann,adv,style,filler,['-']
des Öfteren,adv,style,filler,['-']
des ungeachtet,adv,style,filler,['-']
ein bisschen,adv,style,filler,['-']
ein wenig,adv,style,filler,['-']
ganz und gar,adv,style,filler,['-']
hie und da,adv,style,filler,['-']
im Allgemeinen,adv,style,filler,['-']
in der Tat,adv,style,filler,['-']
in diesem Zusammenhang,adv,style,filler,['-']
jedoch jemals,adv,style,filler,['-']
mal schnell,i,style,filler,['-']
mal eben,i,style,filler,['-']
mal einfach,i,style,filler,['-']
mehr oder weniger,adv,style,filler,['-']
meines Erachtens,adv,style,filler,['-']
ohne weiteres,adv,style,filler,['-']
ohne Zweifel,adv,style,filler,['-']
samt und sonders,adv,style,filler,['-']
sowohl als auch,adv,style,filler,['-']
voll und ganz,adv,style,filler,['-']
von neuem,adv,style,filler,['-']
Sehr geehrte,adv+a,style,advanced_formality,"['-', 'Guten Tag', 'Hallo', 'Lieb~e~/~Lieber', 'Guten Tag, lieb~e~/~lieber', 'Guten Tag', 'Liebe', 'Liebe alle', 'Hallo zusammen', 'Hallo, liebe Zuhörende und Lesende']"
Sehr geehrter,adv+a,style,advanced_formality,"['Guten Tag', 'Hallo', 'Lieb~e~/~Lieber', 'Guten Tag, lieb~e~/~lieber', 'Guten Tag', 'Liebe', 'Liebe alle', 'Hallo zusammen', 'Hallo, liebe Zuhörende und Lesende']"
flache Hierarchie,a+s,style,advanced_hollow,"['kurze Entscheidungswege', 'verantwortliche und eigenorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']"
flache Organisation,a+s,style,advanced_hollow,"['kurze Entscheidungswege', 'verantwortliche und eigenorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']"
outside the box,i,style,advanced_hollow,"['in neuen Mustern', 'frisch und kreativ', 'unkonventionell', 'Neuland beschreitend', 'abseits ausgetretener Pfade']"
rasche Auffassungsgabe,a+s,style,advanced_hollow,"['das Wesentliche schnell erkennen', 'Gelerntes rasch anwenden']"
schnelle Auffassungsgabe,a+s,style,advanced_hollow,"['das Wesentliche schnell erkennen', 'Gelerntes rasch anwenden']"
think outside of the box,i,style,advanced_hollow,"['brainstormen', 'aus neuen Blinkwinkeln betrachten', 'kreativ denken', 'gedankliches Neuland betraten', 'lateral denken']"
unkonventionell denken,a+v,style,advanced_hollow,"['brainstormen', 'aus neuen Blinkwinkeln betrachten', 'kreativ denken', 'gedankliches Neuland betraten', 'lateral denken']"
unkonventionell gedacht,a+v,style,advanced_hollow,"['in neuen Mustern gedacht', 'aus einem neuen Blickwinkel betrachtet', 'lateral gedacht', 'kreativ gedacht', 'über den eigenen Tellerrand geblickt']"
