Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Teilnehmergebühr,s,gendered,advanced_hidden_image,['Teilnahmegebühr'],['Teilnahmegebühren'],"['Teilnahmegebühr', 'Teilnahmegebühren']"
Beratertätigkeit,s,gendered,advanced_hidden_image,"['Beratung', 'Beratungstätigkeit']","['Beratungstätigkeiten', 'Beratungen']","['Beratung', 'Beratungstätigkeit', 'Beratungstätigkeiten', 'Beratungen']"
Benutzerhandbuch,s,gendered,advanced_hidden_image,"['Bedienhandbuch', 'Bedienungshandbuch', 'Betriebshandbuch', 'Bedienungsanleitung']","['Bedienhandbücher', 'Bedienungshandbücher', 'Betriebshandbücher', 'Bedienungsanleitungen']","['Bedienhandbuch', 'Bedienungshandbuch', 'Betriebshandbuch', 'Bedienungsanleitung', 'Bedienhandbücher', 'Bedienungshandbücher', 'Betriebshandbücher', 'Bedienungsanleitungen']"
Weiberwirtschaft,s,gendered,female_stereotype,"['Misswirtschaft', 'Unordnung', 'Durcheinander']",[],"['Misswirtschaft', 'Unordnung', 'Durcheinander']"
Expertenstandard,s,gendered,advanced_hidden_image,['Fachstandard'],['Fachstandards'],"['Fachstandard', 'Fachstandards']"
Geschäftspartner,s,gendered,function,"['Geschäftskontakt', 'Geschäftspartner~in~/~Geschäftspartner', 'geschäftliche Partnerschaft(...)', 'Geschäftspartnerschaft(...)', 'partnerschaftliche Geschäftsbeziehung(...)', 'Unternehmen, das mit uns zusammenarbeitet(...)']","['Geschäftskontakte', 'geschäftliche Partnerschaften', 'partnerschaftliche Geschäftsbeziehungen', 'Geschäftspartner~innen~ und ~Geschäftspartner', 'Unternehmen, die mit uns zusammenarbeiten(...)']","['Geschäftskontakt', 'Geschäftspartner~in~/~Geschäftspartner', 'geschäftliche Partnerschaft(...)', 'Geschäftspartnerschaft(...)', 'partnerschaftliche Geschäftsbeziehung(...)', 'Unternehmen, das mit uns zusammenarbeitet(...)', 'Geschäftskontakte', 'geschäftliche Partnerschaften', 'partnerschaftliche Geschäftsbeziehungen', 'Geschäftspartner~innen~ und ~Geschäftspartner', 'Unternehmen, die mit uns zusammenarbeiten(...)']"
Expertenvortrag,s,gendered,advanced_hidden_image,['Fachvortrag'],['Fachvorträge'],"['Fachvortrag', 'Fachvorträge']"
Leistungsträger,s,gendered,function,"['Motor(...)', 'Schlüsselfigur(...)', 'Schlüsselperson(...)', 'Schnittstelle(...)']",[],"['Motor(...)', 'Schlüsselfigur(...)', 'Schlüsselperson(...)', 'Schnittstelle(...)']"
Kita-Betreuerin,s,gendered,titles,"['Kita-Betreuer~in~/~Kita-Betreuer', 'Kita-Betreuung(...)', 'Kita(...)']","['Betreuende in der Kita', 'Kita-Betreuer~innen~ und ~Kita-Betreuer']","['Kita-Betreuer~in~/~Kita-Betreuer', 'Kita-Betreuung(...)', 'Kita(...)', 'Betreuende in der Kita', 'Kita-Betreuer~innen~ und ~Kita-Betreuer']"
Teilnehmerliste,s,gendered,advanced_hidden_image,"['Teilnahmeliste', 'Liste der Teilnehmenden']","['Teilnahmelisten', 'Listen aller Teilnehmenden']","['Teilnahmeliste', 'Liste der Teilnehmenden', 'Teilnahmelisten', 'Listen aller Teilnehmenden']"
User Experience,|,gendered,advanced_hidden_image,"['Nutzungserlebnis', 'Nutzbarkeit', 'Nutzungsfreundlichkeit']",[],"['Nutzungserlebnis', 'Nutzbarkeit', 'Nutzungsfreundlichkeit']"
Lernpatenschaft,s,gendered,advanced_hidden_image,"['Lernpat~innenschaft', 'Engagement von Lernpat~innen~ und ~Lernpaten']","['Lernpat~innenschaft', 'Initiativen von Lernpat~innen~ und ~Lernpaten']","['Lernpat~innenschaft', 'Engagement von Lernpat~innen~ und ~Lernpaten', 'Lernpat~innenschaft', 'Initiativen von Lernpat~innen~ und ~Lernpaten']"
Benutzerordnung,s,gendered,advanced_hidden_image,['Nutzungsordnung'],['Nutzungsordnungen'],"['Nutzungsordnung', 'Nutzungsordnungen']"
Geschäftsleiter,s,gendered,leadership,"['leitende Kraft', 'Leitungsperson', 'Geschäftsleiter~in~/~Geschäftsleiter', 'entscheidungsbefugte Person(...)', 'verantwortliche Person(...)', 'Geschäftsleitung(...)', 'Management(...)', 'Firmenleitung(...)', 'Unternehmensführung(...)']","['Geschäftsleitungen', 'Geschäftsführungen', 'Geschäftsleiter~innen~ und ~Geschäftsleiter', 'entscheidungsbefugte Personen(...)', 'verantwortliche Person(...)']","['leitende Kraft', 'Leitungsperson', 'Geschäftsleiter~in~/~Geschäftsleiter', 'entscheidungsbefugte Person(...)', 'verantwortliche Person(...)', 'Geschäftsleitung(...)', 'Management(...)', 'Firmenleitung(...)', 'Unternehmensführung(...)', 'Geschäftsleitungen', 'Geschäftsführungen', 'Geschäftsleiter~innen~ und ~Geschäftsleiter', 'entscheidungsbefugte Personen(...)', 'verantwortliche Person(...)']"
Geschäftsführer,s,gendered,leadership,"['leitende Kraft', 'Leitungsperson', 'Führungsperson', 'Lenkungsperson', 'Geschäftsführer~in~/~Geschäftsführer', 'entscheidungsbefugte Person(...)', 'verantwortliche Person(...)', 'Leitung(...)', 'Geschäftsführung(...)', 'Management(...)', 'Direktorium(...)', 'Firmenleitung(...)', 'Unternehmensleitung(...)']","['Geschäftsleitungen', 'Geschäftsführungen', 'Geschäftsführer~innen~ und ~Geschäftsführer', 'entscheidungsbefugte Personen(...)', 'verantwortliche Person(...)']","['leitende Kraft', 'Leitungsperson', 'Führungsperson', 'Lenkungsperson', 'Geschäftsführer~in~/~Geschäftsführer', 'entscheidungsbefugte Person(...)', 'verantwortliche Person(...)', 'Leitung(...)', 'Geschäftsführung(...)', 'Management(...)', 'Direktorium(...)', 'Firmenleitung(...)', 'Unternehmensleitung(...)', 'Geschäftsleitungen', 'Geschäftsführungen', 'Geschäftsführer~innen~ und ~Geschäftsführer', 'entscheidungsbefugte Personen(...)', 'verantwortliche Person(...)']"
anwenderbezogen,s,gendered,advanced_hidden_image,['praxisbezogen'],[],['praxisbezogen']
Expertenwissen,s,gendered,advanced_hidden_image,"['Fachwissen', 'Sachverstand', 'Fachkunde', 'Theorie- und Handlungswissen auf diesem Fachgebiet']",[],"['Fachwissen', 'Sachverstand', 'Fachkunde', 'Theorie- und Handlungswissen auf diesem Fachgebiet']"
Expertengruppe,s,gendered,advanced_hidden_image,['Fachgruppe'],['Fachgruppen'],"['Fachgruppe', 'Fachgruppen']"
Expertentagung,s,gendered,advanced_hidden_image,['Fachtagung'],['Fachtagungen'],"['Fachtagung', 'Fachtagungen']"
