infinitiv,present_ich,present_du,present_pronoun,past_tense_ich,past_participle,conjunctive_ich,imperativ_singular,imperativ_plural,helping_verb,infinitiv_zu
flirten,flirte,flirtest,flirtet,flirtete,geflirtet,flirtete,flirt,flirtet,haben,zu flirten
vernichten,vernichte,vernichtest,vernichtet,vernichtete,vernichtet,vernichtete,vernichte,vernichtet,haben,zu vernichten
aussaugen,sauge aus,saugst aus,saugt aus,sog aus,ausgesogen,söge aus,sauge aus,saugt aus,haben,auszusaugen
knallen,knalle,knallst,knallt,knallte,geknallt,knallte,knall,knallt,haben,zu knallen
zuhören,höre zu,hörst zu,hört zu,hörte zu,zugehört,hörte zu,höre zu,hört zu,haben,zuzuhören
verpissen,verpisse,verpisst,verpisst,verpisste,verpisst,verpisste,verpiss,verpisst,haben,zu verpissen
ankreiden,kreide an,kreidest an,kreidet an,kreidete an,angekreidet,kreidete an,kreide an,kreidet an,haben,anzukreiden
spänen,späne,spänst,spänt,spänte,gespänt,spänte,spän,spänt,haben,zu spänen
säugen,säuge,säugst,säugt,säugte,gesäugt,säugte,säuge,säugt,haben,zu säugen
beckmessern,beckmessere,beckmesserst,beckmessert,beckmesserte,gebeckmessert,beckmesserte,beckmessere,beckmessert,haben,zu beckmessern
markieren,markiere,markierst,markiert,markierte,markiert,markierte,markiere,markiert,haben,zu markieren
behelligen,behellige,behelligst,behelligt,behelligte,behelligt,behelligte,behellige,behelligt,haben,zu behelligen
verteilen,verteile,verteilst,verteilt,verteilte,verteilt,verteilte,verteile,verteilt,haben,zu verteilen
stänkern,stänkere,stänkerst,stänkert,stänkerte,gestänkert,stänkerte,stänker,stänkert,haben,zu stänkern
erzählen,erzähle,erzählst,erzählt,erzählte,erzählt,erzählte,erzähl,erzählt,haben,zu erzählen
trennen,trenne,trennst,trennt,trennte,getrennt,trennte,trenne,trennt,haben,zu trennen
abschenken,schenke ab,schenkst ab,schenkt ab,schenkte ab,abgeschenkt,schenkte ab,schenk ab,schenkt ab,haben,abzuschenken
schaben,schabe,schabst,schabt,schabte,geschabt,schabte,schabe,schabt,haben,zu schaben
vernaschen,vernasche,vernaschst,vernascht,vernaschte,vernascht,vernaschte,vernasche,vernascht,haben,zu vernaschen
befördern,befördere,beförderst,befördert,beförderte,befördert,beförderte,befördere,befördert,haben,zu befördern
vergehen,vergehe,vergehst,vergeht,verging,vergangen,verginge,vergehe,vergeht,haben,zu vergehen
vermuten,vermute,vermutest,vermutet,vermutete,vermutet,vermutete,vermut,vermutet,haben,zu vermuten
begegnen,begegne,begegnest,begegnet,begegnete,begegnet,begegnete,begegne,begegnet,sein,zu begegnen
unterpunkten,unterpunkte,unterpunktest,unterpunktet,unterpunktete,unterpunktet,unterpunktete,unterpunkte,unterpunktet,haben,zu unterpunkten
abklemmen,klemme ab,klemmst ab,klemmt ab,klemmte ab,abgeklemmt,klemmte ab,klemm ab,klemmt ab,haben,abzuklemmen
schachern,schachere,schacherst,schachert,schacherte,geschachert,schacherte,schachere,schachert,haben,zu schachern
auflösen,löse auf,löst auf,löst auf,löste auf,aufgelöst,löste auf,löse auf,löst auf,haben,aufzulösen
schwanen,—,—,schwant,schwante,geschwant,schwante,—,—,haben,zu schwanen
heranwachsen,wachse heran,wächst heran,wächst heran,wuchs heran,herangewachsen,wüchse heran,wachse heran,wachst heran,sein,herzuanwachsen
bestimmen,bestimme,bestimmst,bestimmt,bestimmte,bestimmt,bestimmte,bestimme,bestimmt,haben,zu bestimmen
schüren,schüre,schürst,schürt,schürte,geschürt,schürte,schüre,schürt,haben,zu schüren
revanchieren,revanchiere,revanchierst,revanchiert,revanchierte,revanchiert,revanchierte,revanchier,revanchiert,haben,zu revanchieren
ausfratscheln,fratschle aus,fratschelst aus,fratschelt aus,fratschelte aus,ausgefratschelt,fratschelte aus,fratschle aus,fratschelt aus,haben,auszufratscheln
anpingen,pinge an,pingst an,pingt an,pingte an,angepingt,pingte an,ping an,pingt an,haben,anzupingen
senden,sende,sendest,sendet,sendete,gesendet,sendete,sende,sendet,haben,zu senden
exzerpieren,exzerpiere,exzerpierst,exzerpiert,exzerpierte,exzerpiert,exzerpierte,exzerpiere,exzerpiert,haben,zu exzerpieren
perpetuieren,perpetuiere,perpetuierst,perpetuiert,perpetuierte,perpetuiert,perpetuierte,perpetuiere,perpetuiert,haben,zu perpetuieren
disputieren,disputiere,disputierst,disputiert,disputierte,disputiert,disputierte,disputiere,disputiert,haben,zu disputieren
bemustern,bemustere,bemusterst,bemustert,bemusterte,bemustert,bemusterte,bemustere,bemustert,haben,zu bemustern
faszinieren,fasziniere,faszinierst,fasziniert,faszinierte,fasziniert,faszinierte,fasziniere,fasziniert,haben,zu faszinieren
gasen,gase,gast,gast,gaste,gegast,gaste,gas,gast,haben,zu gasen
umfallen,falle um,fällst um,fällt um,fiel um,umgefallen,fiele um,fall um,fallt um,sein,umzufallen
schämen,schäme,schämst,schämt,schämte,geschämt,schämte,schäm,schämt,haben,zu schämen
trüben,trübe,trübst,trübt,trübte,getrübt,trübte,trübe,trübt,haben,zu trüben
verbleiben,verbleibe,verbleibst,verbleibt,verblieb,verblieben,verbliebe,verbleibe,verbleibt,sein,zu verbleiben
vorgeben,gebe vor,gibst vor,gibt vor,gab vor,vorgegeben,gäbe vor,gib vor,gebt vor,haben,vorzugeben
beleben,belebe,belebst,belebt,belebte,belebt,belebte,belebe,belebt,haben,zu beleben
mehren,mehre,mehrst,mehrt,mehrte,gemehrt,mehrte,mehre,mehrt,haben,zu mehren
argwöhnen,argwöhne,argwöhnst,argwöhnt,argwöhnte,geargwöhnt,argwöhnte,argwöhn,argwöhnt,haben,zu argwöhnen
steigen,steige,steigst,steigt,stieg,gestiegen,stiege,steig,steigt,sein,zu steigen
genießen,genieße,genießt,genießt,genoss,genossen,genösse,genieß,genießt,haben,zu genießen
drapieren,drapiere,drapierst,drapiert,drapierte,drapiert,drapierte,drapiere,drapiert,haben,zu drapieren
lädieren,lädiere,lädierst,lädiert,lädierte,lädiert,lädierte,lädiere,lädiert,haben,zu lädieren
vomieren,vomiere,vomierst,vomiert,vomierte,vomiert,vomierte,vomiere,vomiert,haben,zu vomieren
frühstücken,frühstücke,frühstückst,frühstückt,frühstückte,gefrühstückt,frühstückte,frühstücke,frühstückt,haben,zu frühstücken
abendessen,—,—,—,—,abendgegessen,—,—,—,haben,abzuendessen
mittagessen,—,—,—,—,mittaggegessen,—,—,—,haben,mitzutagessen
möblieren,möbliere,möblierst,möbliert,möblierte,möbliert,möblierte,möbliere,möbliert,haben,zu möblieren
meinen,meine,meinst,meint,meinte,gemeint,meinte,meine,meint,haben,zu meinen
erheben,erhebe,erhebst,erhebt,erhob,erhoben,erhöbe,erhebe,erhebt,haben,zu erheben
verlangen,verlange,verlangst,verlangt,verlangte,verlangt,verlangte,verlange,verlangt,haben,zu verlangen
anschließen,schließe an,schließt an,schließt an,schloss an,angeschlossen,schlösse an,schließ an,schließt an,haben,anzuschließen
pochen,poche,pochst,pocht,pochte,gepocht,pochte,poche,pocht,haben,zu pochen
kundtun,tu kund,tust kund,tut kund,tat kund,kundgetan,täte kund,tu kund,tut kund,haben,kundzutun
eiern,eiere,eierst,eiert,eierte,geeiert,eierte,eiere,eiert,haben,zu eiern
einnehmen,nehme ein,nimmst ein,nimmt ein,nahm ein,eingenommen,nähme ein,nimm ein,nehmt ein,haben,einzunehmen
ausnehmen,nehme aus,nimmst aus,nimmt aus,nahm aus,ausgenommen,nähme aus,nimm aus,nehmt aus,haben,auszunehmen
nachschlagen,schlage nach,schlägst nach,schlägt nach,schlug nach,nachgeschlagen,schlüge nach,schlag nach,schlagt nach,haben,nachzuschlagen
angeben,gebe an,gibst an,gibt an,gab an,angegeben,gäbe an,gib an,gebt an,haben,anzugeben
unterstehen,unterstehe,unterstehst,untersteht,unterstand,unterstanden,unterstünde,unterstehe,untersteht,haben,zu unterstehen
modulieren,moduliere,modulierst,moduliert,modulierte,moduliert,modulierte,moduliere,moduliert,haben,zu modulieren
turteln,turtle,turtelst,turtelt,turtelte,geturtelt,turtelte,turtle,turtelt,haben,zu turteln
kobern,kobere,koberst,kobert,koberte,gekobert,koberte,kobere,kobert,haben,zu kobern
passen,passe,passt,passt,passte,gepasst,passte,pass,passt,haben,zu passen
schiffen,schiffe,schiffst,schifft,schiffte,geschifft,schiffte,schiff,schifft,haben,zu schiffen
aufräumen,räume auf,räumst auf,räumt auf,räumte auf,aufgeräumt,räumte auf,räum auf,räumt auf,haben,aufzuräumen
äufnen,äufne,äufnest,äufnet,äufnete,geäufnet,äufnete,äufne,äufnet,haben,zu äufnen
wickeln,wickle,wickelst,wickelt,wickelte,gewickelt,wickelte,wickle,wickelt,haben,zu wickeln
aufwickeln,wickle auf,wickelst auf,wickelt auf,wickelte auf,aufgewickelt,wickelte auf,wickle auf,wickelt auf,haben,aufzuwickeln
aufwachen,wache auf,wachst auf,wacht auf,wachte auf,aufgewacht,wachte auf,wach auf,wacht auf,sein,aufzuwachen
drangsalieren,drangsaliere,drangsalierst,drangsaliert,drangsalierte,drangsaliert,drangsalierte,drangsaliere,drangsaliert,haben,zu drangsalieren
schassen,schasse,schasst,schasst,schasste,geschasst,schasste,schass,schasst,haben,zu schassen
aushändigen,händige aus,händigst aus,händigt aus,händigte aus,ausgehändigt,händigte aus,händig aus,händigt aus,haben,auszuhändigen
dümpeln,dümple,dümpelst,dümpelt,dümpelte,gedümpelt,dümpelte,dümple,dümpelt,haben,zu dümpeln
ritzen,ritze,ritzt,ritzt,ritzte,geritzt,ritzte,ritze,ritzt,haben,zu ritzen
urgieren,urgiere,urgierst,urgiert,urgierte,urgiert,urgierte,urgiere,urgiert,haben,zu urgieren
verfassen,verfasse,verfasst,verfasst,verfasste,verfasst,verfasste,verfass,verfasst,haben,zu verfassen
süßen,süße,süßt,süßt,süßte,gesüßt,süßte,süß,süßt,haben,zu süßen
richten,richte,richtest,richtet,richtete,gerichtet,richtete,richte,richtet,haben,zu richten
rüffeln,rüffle,rüffelst,rüffelt,rüffelte,gerüffelt,rüffelte,rüffle,rüffelt,haben,zu rüffeln
flirren,flirre,flirrst,flirrt,flirrte,geflirrt,flirrte,flirre,flirrt,haben,zu flirren
aufrichten,richte auf,richtest auf,richtet auf,richtete auf,aufgerichtet,richtete auf,richte auf,richtet auf,haben,aufzurichten
dönern,dönere,dönerst,dönert,dönerte,gedönert,dönerte,dönere,dönert,haben,zu dönern
befremden,befremde,befremdest,befremdet,befremdete,befremdet,befremdete,befremde,befremdet,haben,zu befremden
invertieren,invertiere,invertierst,invertiert,invertierte,invertiert,invertierte,invertiere,invertiert,haben,zu invertieren
mampfen,mampfe,mampfst,mampft,mampfte,gemampft,mampfte,mampfe,mampft,haben,zu mampfen
verreisen,verreise,verreist,verreist,verreiste,verreist,verreiste,verreise,verreist,sein,zu verreisen
wegfahren,fahre weg,fährst weg,fährt weg,fuhr weg,weggefahren,führe weg,fahr weg,fahrt weg,sein,wegzufahren
vermieten,vermiete,vermietest,vermietet,vermietete,vermietet,vermietete,vermiete,vermietet,haben,zu vermieten
versehren,versehre,versehrst,versehrt,versehrte,versehrt,versehrte,versehre,versehrt,haben,zu versehren
fordern,fordere,forderst,fordert,forderte,gefordert,forderte,fordere,fordert,haben,zu fordern
verehren,verehre,verehrst,verehrt,verehrte,verehrt,verehrte,verehre,verehrt,haben,zu verehren
umziehen,ziehe um,ziehst um,zieht um,zog um,umgezogen,zöge um,zieh um,zieht um,sein,umzuziehen
transportieren,transportiere,transportierst,transportiert,transportierte,transportiert,transportierte,transportiere,transportiert,haben,zu transportieren
entgegenkommen,komme entgegen,kommst entgegen,kommt entgegen,kam entgegen,entgegengekommen,käme entgegen,komm entgegen,kommt entgegen,sein,zu entgegenkommen
überholen,überhole,überholst,überholt,überholte,überholt,überholte,überhol,überholt,haben,zu überholen
besteigen,besteige,besteigst,besteigt,bestieg,bestiegen,bestiege,besteig,besteigt,haben,zu besteigen
zagen,zage,zagst,zagt,zagte,gezagt,zagte,zage,zagt,haben,zu zagen
übernachten,übernachte,übernachtest,übernachtet,übernachtete,übernachtet,übernachtete,übernachte,übernachtet,haben,zu übernachten
buchen,buche,buchst,bucht,buchte,gebucht,buchte,buch,bucht,haben,zu buchen
reservieren,reserviere,reservierst,reserviert,reservierte,reserviert,reservierte,reservier,reserviert,haben,zu reservieren
auspacken,packe aus,packst aus,packt aus,packte aus,ausgepackt,packte aus,pack aus,packt aus,haben,auszupacken
einpacken,packe ein,packst ein,packt ein,packte ein,eingepackt,packte ein,pack ein,packt ein,haben,einzupacken
verbringen,verbringe,verbringst,verbringt,verbrachte,verbracht,verbrächte,verbringe,verbringt,haben,zu verbringen
besichtigen,besichtige,besichtigst,besichtigt,besichtigte,besichtigt,besichtigte,besichtige,besichtigt,haben,zu besichtigen
optieren,optiere,optierst,optiert,optierte,optiert,optierte,optiere,optiert,haben,zu optieren
lustwandeln,lustwandle,lustwandelst,lustwandelt,lustwandelte,lustgewandelt,lustwandelte,lustwandle,lustwandelt,sein,zu lustwandeln
nagen,nage,nagst,nagt,nagte,genagt,nagte,nag,nagt,haben,zu nagen
knabbern,knabbere,knabberst,knabbert,knabberte,geknabbert,knabberte,knabber,knabbert,haben,zu knabbern
verbieten,verbiete,verbietest,verbietet,verbot,verboten,verböte,verbiet,verbietet,haben,zu verbieten
frohlocken,frohlocke,frohlockst,frohlockt,frohlockte,frohlockt,frohlockte,frohlocke,frohlockt,haben,frohzulocken
kaprizieren,kapriziere,kaprizierst,kapriziert,kaprizierte,kapriziert,kaprizierte,kaprizier,kapriziert,haben,zu kaprizieren
weihnachten,—,—,weihnachtet,weihnachtete,geweihnachtet,weihnachtete,—,—,haben,weihnzuachten
einführen,führe ein,führst ein,führt ein,führte ein,eingeführt,führte ein,führ ein,führt ein,haben,einzuführen
auskehren,kehre aus,kehrst aus,kehrt aus,kehrte aus,ausgekehrt,kehrte aus,kehr aus,kehrt aus,haben,auszukehren
initiieren,initiiere,initiierst,initiiert,initiierte,initiiert,initiierte,initiiere,initiiert,haben,zu initiieren
beschädigen,beschädige,beschädigst,beschädigt,beschädigte,beschädigt,beschädigte,beschädige,beschädigt,haben,zu beschädigen
zurückgeben,gebe zurück,gibst zurück,gibt zurück,gab zurück,zurückgegeben,gäbe zurück,gib zurück,gebt zurück,haben,zuzurückgeben
leuchten,leuchte,leuchtest,leuchtet,leuchtete,geleuchtet,leuchtete,leuchte,leuchtet,haben,zu leuchten
fortsetzen,setze fort,setzt fort,setzt fort,setzte fort,fortgesetzt,setzte fort,setz fort,setzt fort,haben,fortzusetzen
reichen,reiche,reichst,reicht,reichte,gereicht,reichte,reiche,reicht,haben,zu reichen
klatschen,klatsche,klatschst,klatscht,klatschte,geklatscht,klatschte,klatsch,klatscht,haben,zu klatschen
zünden,zünde,zündest,zündet,zündete,gezündet,zündete,zünd,zündet,haben,zu zünden
seifen,seife,seifst,seift,seifte,geseift,seifte,seif,seift,haben,zu seifen
fegen,fege,fegst,fegt,fegte,gefegt,fegte,fege,fegt,haben,zu fegen
türken,türke,türkst,türkt,türkte,getürkt,türkte,türke,türkt,haben,zu türken
räuspern,räuspere,räusperst,räuspert,räusperte,geräuspert,räusperte,räuspere,räuspert,haben,zu räuspern
adeln,adele,adelst,adelt,adelte,geadelt,adelte,adele,adelt,haben,zu adeln
knattern,knattere,knatterst,knattert,knatterte,geknattert,knatterte,knattere,knattert,haben,zu knattern
bedienen,bediene,bedienst,bedient,bediente,bedient,bediente,bedien,bedient,haben,zu bedienen
ramponieren,ramponiere,ramponierst,ramponiert,ramponierte,ramponiert,ramponierte,ramponier,ramponiert,haben,zu ramponieren
reinpfeifen,pfeife rein,pfeifst rein,pfeift rein,pfiff rein,reingepfiffen,pfiffe rein,pfeif rein,pfeift rein,haben,reinzupfeifen
fabrizieren,fabriziere,fabrizierst,fabriziert,fabrizierte,fabriziert,fabrizierte,fabrizier,fabriziert,haben,zu fabrizieren
fabulieren,fabuliere,fabulierst,fabuliert,fabulierte,fabuliert,fabulierte,fabulier,fabuliert,haben,zu fabulieren
poussieren,poussiere,poussierst,poussiert,poussierte,poussiert,poussierte,poussiere,poussiert,haben,zu poussieren
insinuieren,insinuiere,insinuierst,insinuiert,insinuierte,insinuiert,insinuierte,insinuiere,insinuiert,haben,zu insinuieren
sponsern,sponsere,sponserst,sponsert,sponserte,gesponsert,sponserte,sponsere,sponsert,haben,zu sponsern
gereichen,gereiche,gereichst,gereicht,gereichte,gereicht,gereichte,gereich,gereicht,haben,zu gereichen
aggregieren,aggregiere,aggregierst,aggregiert,aggregierte,aggregiert,aggregierte,aggregiere,aggregiert,haben,zu aggregieren
kuratieren,kuratiere,kuratierst,kuratiert,kuratierte,kuratiert,kuratierte,kuratier,kuratiert,haben,zu kuratieren
bannen,banne,bannst,bannt,bannte,gebannt,bannte,banne,bannt,haben,zu bannen
konfluieren,—,—,konfluiert,konfluierte,konfluiert,konfluierte,—,—,sein,zu konfluieren
vergeben,vergebe,vergibst,vergibt,vergab,vergeben,vergäbe,vergib,vergebt,haben,zu vergeben
schicken,schicke,schickst,schickt,schickte,geschickt,schickte,schick,schickt,haben,zu schicken
drücken,drücke,drückst,drückt,drückte,gedrückt,drückte,drück,drückt,haben,zu drücken
stecken,stecke,steckst,steckt,steckte,gesteckt,steckte,steck,steckt,haben,zu stecken
übergeben,übergebe,übergibst,übergibt,übergab,übergeben,übergäbe,übergib,übergebt,haben,zu übergeben
lenken,lenke,lenkst,lenkt,lenkte,gelenkt,lenkte,lenk,lenkt,haben,zu lenken
begehen,begehe,begehst,begeht,beging,begangen,beginge,begeh,begeht,haben,zu begehen
angreifen,greife an,greifst an,greift an,griff an,angegriffen,griffe an,greif an,greift an,haben,anzugreifen
schützen,schütze,schützt,schützt,schützte,geschützt,schützte,schütze,schützt,haben,zu schützen
versorgen,versorge,versorgst,versorgt,versorgte,versorgt,versorgte,versorg,versorgt,haben,zu versorgen
kämpfen,kämpfe,kämpfst,kämpft,kämpfte,gekämpft,kämpfte,kämpf,kämpft,haben,zu kämpfen
mischen,mische,mischst,mischt,mischte,gemischt,mischte,misch,mischt,haben,zu mischen
aufheben,hebe auf,hebst auf,hebt auf,hob auf,aufgehoben,höbe auf,heb auf,hebt auf,haben,aufzuheben
scheinen,scheine,scheinst,scheint,schien,geschienen,schiene,scheine,scheint,haben,zu scheinen
abschließen,schließe ab,schließt ab,schließt ab,schloss ab,abgeschlossen,schlösse ab,schließ ab,schließt ab,haben,abzuschließen
entscheiden,entscheide,entscheidest,entscheidet,entschied,entschieden,entschiede,entscheide,entscheidet,haben,zu entscheiden
ansehen,sehe an,siehst an,sieht an,sah an,angesehen,sähe an,sieh an,seht an,haben,anzusehen
verderben,verderbe,verdirbst,verdirbt,verdarb,verdorben,verdürbe,verdirb,verderbt,haben,zu verderben
schreiten,schreite,schreitest,schreitet,schritt,geschritten,schritte,schreite,schreitet,sein,zu schreiten
fischen,fische,fischst,fischt,fischte,gefischt,fischte,fische,fischt,haben,zu fischen
garantieren,garantiere,garantierst,garantiert,garantierte,garantiert,garantierte,garantiere,garantiert,haben,zu garantieren
erledigen,erledige,erledigst,erledigt,erledigte,erledigt,erledigte,erledig,erledigt,haben,zu erledigen
reißen,reiße,reißt,reißt,riss,gerissen,risse,reiße,reißt,haben,zu reißen
vermengen,vermenge,vermengst,vermengt,vermengte,vermengt,vermengte,vermenge,vermengt,haben,zu vermengen
tagen,tage,tagst,tagt,tagte,getagt,tagte,tag,tagt,haben,zu tagen
jagen,jage,jagst,jagt,jagte,gejagt,jagte,jag,jagt,haben,zu jagen
sieden,siede,siedest,siedet,sott,gesotten,sötte,sied,siedet,haben,zu sieden
weggehen,gehe weg,gehst weg,geht weg,ging weg,weggegangen,ginge weg,geh weg,geht weg,sein,wegzugehen
aushalten,halte aus,hältst aus,hält aus,hielt aus,ausgehalten,hielte aus,halt aus,haltet aus,haben,auszuhalten
ansprechen,spreche an,sprichst an,spricht an,sprach an,angesprochen,spräche an,sprich an,sprecht an,haben,anzusprechen
schwatzen,schwatze,schwatzt,schwatzt,schwatzte,geschwatzt,schwatzte,schwatz,schwatzt,haben,zu schwatzen
konvergieren,konvergiere,konvergierst,konvergiert,konvergierte,konvergiert,konvergierte,konvergiere,konvergiert,haben,zu konvergieren
differieren,differiere,differierst,differiert,differierte,differiert,differierte,differiere,differiert,haben,zu differieren
isolieren,isoliere,isolierst,isoliert,isolierte,isoliert,isolierte,isoliere,isoliert,haben,zu isolieren
traben,trabe,trabst,trabt,trabte,getrabt,trabte,trabe,trabt,sein,zu traben
torpedieren,torpediere,torpedierst,torpediert,torpedierte,torpediert,torpedierte,torpediere,torpediert,haben,zu torpedieren
abdingen,dinge ab,dingst ab,dingt ab,dingte ab,abgedingt,dingte ab,dinge ab,dingt ab,haben,abzudingen
mahlen,mahle,mahlst,mahlt,mahlte,gemahlen,mahlte,mahle,mahlt,haben,zu mahlen
gammeln,gammle,gammelst,gammelt,gammelte,gegammelt,gammelte,gammle,gammelt,haben,zu gammeln
aufmotzen,motze auf,motzt auf,motzt auf,motzte auf,aufgemotzt,motzte auf,motz auf,motzt auf,haben,aufzumotzen
affigieren,affigiere,affigierst,affigiert,affigierte,affigiert,affigierte,affigiere,affigiert,haben,zu affigieren
garen,gare,garst,gart,garte,gegart,garte,gare,gart,haben,zu garen
gieren,giere,gierst,giert,gierte,gegiert,gierte,giere,giert,haben,zu gieren
babbeln,babble,babbelst,babbelt,babbelte,gebabbelt,babbelte,babble,babbelt,haben,zu babbeln
vertreiben,vertreibe,vertreibst,vertreibt,vertrieb,vertrieben,vertriebe,vertreibe,vertreibt,haben,zu vertreiben
kicken,kicke,kickst,kickt,kickte,gekickt,kickte,kick,kickt,haben,zu kicken
ausstellen,stelle aus,stellst aus,stellt aus,stellte aus,ausgestellt,stellte aus,stell aus,stellt aus,haben,auszustellen
anschauen,schaue an,schaust an,schaut an,schaute an,angeschaut,schaute an,schau an,schaut an,haben,anzuschauen
gären,gäre,gärst,gärt,gor,gegoren,göre,gäre,gärt,haben,zu gären
abstürzen,stürze ab,stürzt ab,stürzt ab,stürzte ab,abgestürzt,stürzte ab,stürz ab,stürzt ab,sein,abzustürzen
umkehren,kehre um,kehrst um,kehrt um,kehrte um,umgekehrt,kehrte um,kehr um,kehrt um,sein,umzukehren
kalligraphieren,kalligraphiere,kalligraphierst,kalligraphiert,kalligraphierte,kalligraphiert,kalligraphierte,kalligraphier,kalligraphiert,haben,zu kalligraphieren
regieren,regiere,regierst,regiert,regierte,regiert,regierte,regiere,regiert,haben,zu regieren
spülen,spüle,spülst,spült,spülte,gespült,spülte,spül,spült,haben,zu spülen
bersten,berste,birst,birst,barst,geborsten,bärste,birst,berstet,sein,zu bersten
ergänzen,ergänze,ergänzt,ergänzt,ergänzte,ergänzt,ergänzte,ergänze,ergänzt,haben,zu ergänzen
beeindrucken,beeindrucke,beeindruckst,beeindruckt,beeindruckte,beeindruckt,beeindruckte,beeindrucke,beeindruckt,haben,zu beeindrucken
behandeln,behandele,behandelst,behandelt,behandelte,behandelt,behandelte,behandele,behandelt,haben,zu behandeln
erbrechen,erbreche,erbrichst,erbricht,erbrach,erbrochen,erbräche,erbrich,erbrecht,haben,zu erbrechen
stoßen,stoße,stößt,stößt,stieß,gestoßen,stieße,stoße,stoßt,haben,zu stoßen
kneifen,kneife,kneifst,kneift,kniff,gekniffen,kniffe,kneife,kneift,haben,zu kneifen
eilen,eile,eilst,eilt,eilte,geeilt,eilte,eile,eilt,haben,zu eilen
ausgehen,gehe aus,gehst aus,geht aus,ging aus,ausgegangen,ginge aus,geh aus,geht aus,sein,auszugehen
räsonieren,räsoniere,räsonierst,räsoniert,räsonierte,räsoniert,räsonierte,räsoniere,räsoniert,haben,zu räsonieren
obedieren,obediere,obedierst,obediert,obedierte,obediert,obedierte,obediere,obediert,haben,zu obedieren
erbieten,erbiete,erbietest,erbietet,erbot,erboten,erböte,erbiete,erbietet,haben,zu erbieten
anbringen,bringe an,bringst an,bringt an,brachte an,angebracht,brächte an,bring an,bringt an,haben,anzubringen
wälzen,wälze,wälzt,wälzt,wälzte,gewälzt,wälzte,wälze,wälzt,haben,zu wälzen
dringen,dringe,dringst,dringt,drang,gedrungen,dränge,dring,dringt,sein,zu dringen
lullen,lulle,lullst,lullt,lullte,gelullt,lullte,lull,lullt,haben,zu lullen
einlullen,lulle ein,lullst ein,lullt ein,lullte ein,eingelullt,lullte ein,lull ein,lullt ein,haben,einzulullen
vortäuschen,täusche vor,täuschst vor,täuscht vor,täuschte vor,vorgetäuscht,täuschte vor,täusch vor,täuscht vor,haben,zu vortäuschen
empfangen,empfange,empfängst,empfängt,empfing,empfangen,empfinge,empfange,empfangt,haben,zu empfangen
empfehlen,empfehle,empfiehlst,empfiehlt,empfahl,empfohlen,empfähle,empfiehl,empfehlt,haben,zu empfehlen
hauen,haue,haust,haut,haute,gehauen,haute,hau,haut,haben,zu hauen
abbedingen,bedinge ab,bedingst ab,bedingt ab,bedang ab,abbedingt,bedänge ab,beding ab,bedingt ab,haben,abzubedingen
hausen,hause,haust,haust,hauste,gehaust,hauste,hause,haust,haben,zu hausen
greifen,greife,greifst,greift,griff,gegriffen,griffe,greife,greift,haben,zu greifen
kräuseln,kräusle,kräuselst,kräuselt,kräuselte,gekräuselt,kräuselte,kräusle,kräuselt,haben,zu kräuseln
mäkeln,mäkele,mäkelst,mäkelt,mäkelte,gemäkelt,mäkelte,mäkel,mäkelt,haben,zu mäkeln
abchoppen,choppe ab,choppst ab,choppt ab,choppte ab,abgechoppt,choppte ab,chopp ab,choppt ab,haben,abzuchoppen
abkommen,komme ab,kommst ab,kommt ab,kam ab,abgekommen,käme ab,komm ab,kommt ab,sein,abzukommen
priorisieren,priorisiere,priorisierst,priorisiert,priorisierte,priorisiert,priorisierte,priorisier,priorisiert,haben,zu priorisieren
anbellen,belle an,bellst an,bellt an,bellte an,angebellt,bellte an,bell an,bellt an,haben,anzubellen
beneiden,beneide,beneidest,beneidet,beneidete,beneidet,beneidete,beneide,beneidet,haben,zu beneiden
wehen,wehe,wehst,weht,wehte,geweht,wehte,wehe,weht,haben,zu wehen
aussortieren,sortiere aus,sortierst aus,sortiert aus,sortierte aus,aussortiert,sortierte aus,sortiere aus,sortiert aus,haben,auszusortieren
vorkommen,komme vor,kommst vor,kommt vor,kam vor,vorgekommen,käme vor,komm vor,kommt vor,sein,zu vorkommen
blühen,blühe,blühst,blüht,blühte,geblüht,blühte,blühe,blüht,haben,zu blühen
feiern,feiere,feierst,feiert,feierte,gefeiert,feierte,feier,feiert,haben,zu feiern
nüffeln,nüffel,nüffelst,nüffelt,nüffelte,genüffelt,nüffelte,nüffel,nüffelt,haben,zu nüffeln
niffeln,niffele,niffelst,niffelt,niffelte,geniffelt,niffelte,niffele,niffelt,haben,zu niffeln
begrüßen,begrüße,begrüßt,begrüßt,begrüßte,begrüßt,begrüßte,begrüße,begrüßt,haben,zu begrüßen
bedonnern,bedonnere,bedonnerst,bedonnert,bedonnerte,bedonnert,bedonnerte,bedonnere,bedonnert,sein,zu bedonnern
mitmischen,mische mit,mischst mit,mischt mit,mischte mit,mitgemischt,mischte mit,misch mit,mischt mit,haben,mitzumischen
marginalisieren,marginalisiere,marginalisierst,marginalisiert,marginalisierte,marginalisiert,marginalisierte,marginalisiere,marginalisiert,haben,zu marginalisieren
enttäuschen,enttäusche,enttäuschst,enttäuscht,enttäuschte,enttäuscht,enttäuschte,enttäusche,enttäuscht,haben,zu enttäuschen
anrufen,rufe an,rufst an,ruft an,rief an,angerufen,riefe an,ruf an,ruft an,haben,anzurufen
belohnen,belohne,belohnst,belohnt,belohnte,belohnt,belohnte,belohn,belohnt,haben,zu belohnen
