infinitiv,present_ich,present_du,present_pronoun,past_tense_ich,past_participle,conjunctive_ich,imperativ_singular,imperativ_plural,helping_verb,infinitiv_zu
zerhacken,zerhacke,zerhackst,zerhackt,zerhackte,zerhackt,zerhackte,zerhack,zerhackt,haben,zu zerhacken
entschlacken,entschlacke,entschlackst,entschlackt,entschlackte,entschlackt,entschlackte,entschlack,entschlackt,haben,zu entschlacken
entsteigen,entsteige,entsteigst,entsteigt,entstieg,entstiegen,entstiege,entsteig,entsteigt,sein,zu entsteigen
kleinhalten,halte klein,hältst klein,hält klein,hielt klein,kleingehalten,hielte klein,halt klein,haltet klein,haben,kleinzuhalten
komplettieren,komplettiere,komplettierst,komplettiert,komplettierte,komplettiert,komplettierte,komplettier,komplettiert,haben,zu komplettieren
vandalieren,vandaliere,vandalierst,vandaliert,vandalierte,vandaliert,vandalierte,vandalier,vandaliert,haben,zu vandalieren
melieren,meliere,melierst,meliert,melierte,meliert,melierte,melier,meliert,haben,zu melieren
dabeihaben,habe dabei,hast dabei,hat dabei,hatte dabei,dabeigehabt,hätte dabei,hab dabei,habt dabei,haben,zu dabeihaben
vandalisieren,vandalisiere,vandalisierst,vandalisiert,vandalisierte,vandalisiert,vandalisierte,vandalisier,vandalisiert,haben,zu vandalisieren
entzücken,entzücke,entzückst,entzückt,entzückte,entzückt,entzückte,entzück,entzückt,haben,zu entzücken
entspiegeln,entspiegele,entspiegelst,entspiegelt,entspiegelte,entspiegelt,entspiegelte,entspiegel,entspiegelt,haben,zu entspiegeln
entzaubern,entzaubere,entzauberst,entzaubert,entzauberte,entzaubert,entzauberte,entzauber,entzaubert,haben,zu entzaubern
entkrampfen,entkrampfe,entkrampfst,entkrampft,entkrampfte,entkrampft,entkrampfte,entkrampf,entkrampft,haben,zu entkrampfen
entfeuchten,entfeuchte,entfeuchtest,entfeuchtet,entfeuchtete,entfeuchtet,entfeuchtete,entfeucht,entfeuchtet,haben,zu entfeuchten
entfleischen,entfleische,entfleischst,entfleischt,entfleischte,entfleischt,entfleischte,entfleisch,entfleischt,haben,zu entfleischen
schubladisieren,schubladisiere,schubladisierst,schubladisiert,schubladisierte,schubladisiert,schubladisierte,schubladisier,schubladisiert,haben,zu schubladisieren
entstören,entstöre,entstörst,entstört,entstörte,entstört,entstörte,entstör,entstört,haben,zu entstören
entblocken,entblocke,entblockst,entblockt,entblockte,entblockt,entblockte,entblock,entblockt,haben,zu entblocken
entsäuern,entsäuere,entsäuerst,entsäuert,entsäuerte,entsäuert,entsäuerte,entsäuer,entsäuert,haben,zu entsäuern
entsumpfen,entsumpfe,entsumpfst,entsumpft,entsumpfte,entsumpft,entsumpfte,entsumpf,entsumpft,haben,zu entsumpfen
sumpfen,sumpfe,sumpfst,sumpft,sumpfte,gesumpft,sumpfte,sumpf,sumpft,haben,zu sumpfen
entschulden,entschulde,entschuldest,entschuldet,entschuldete,entschuldet,entschuldete,entschuld,entschuldet,haben,zu entschulden
mitbestimmen,bestimme mit,bestimmst mit,bestimmt mit,bestimmte mit,mitbestimmt,bestimmte mit,bestimm mit,bestimmt mit,haben,mitzubestimmen
entgleiten,entgleite,entgleitest,entgleitet,entglitt,entglitten,entglitte,entgleit,entgleitet,sein,zu entgleiten
entlocken,entlocke,entlockst,entlockt,entlockte,entlockt,entlockte,entlock,entlockt,haben,zu entlocken
entanonymisieren,entanonymisiere,entanonymisierst,entanonymisiert,entanonymisierte,entanonymisiert,entanonymisierte,entanonymisier,entanonymisiert,haben,zu entanonymisieren
entglorifizieren,entglorifiziere,entglorifizierst,entglorifiziert,entglorifizierte,entglorifiziert,entglorifizierte,entglorifizier,entglorifiziert,haben,zu entglorifizieren
entmythisieren,entmythisiere,entmythisierst,entmythisiert,entmythisierte,entmythisiert,entmythisierte,entmythisier,entmythisiert,haben,zu entmythisieren
anonymisieren,anonymisiere,anonymisierst,anonymisiert,anonymisierte,anonymisiert,anonymisierte,anonymisier,anonymisiert,haben,anzuonymisieren
glorifizieren,glorifiziere,glorifizierst,glorifiziert,glorifizierte,glorifiziert,glorifizierte,glorifizier,glorifiziert,haben,zu glorifizieren
visualisieren,visualisiere,visualisierst,visualisiert,visualisierte,visualisiert,visualisierte,visualisier,visualisiert,haben,zu visualisieren
zentralisieren,zentralisiere,zentralisierst,zentralisiert,zentralisierte,zentralisiert,zentralisierte,zentralisier,zentralisiert,haben,zu zentralisieren
dezentralisieren,dezentralisiere,dezentralisierst,dezentralisiert,dezentralisierte,dezentralisiert,dezentralisierte,dezentralisier,dezentralisiert,haben,zu dezentralisieren
Benutzer:Udo T./gehen,gehe,gehst,geht,ging,gegangen,ginge,geh,geht,sein,zu Benutzer:Udo T./gehen
schwerfallen,–,–,fällt schwer,fiel schwer,schwergefallen,fiele schwer,—,—,sein,schwerzufallen
absehen,sehe ab,siehst ab,sieht ab,sah ab,abgesehen,sähe ab,sieh ab,seht ab,haben,abzusehen
anmerken,merke an,merkst an,merkt an,merkte an,angemerkt,merkte an,merk an,merkt an,haben,anzumerken
mitkriegen,kriege mit,kriegst mit,kriegt mit,kriegte mit,mitgekriegt,kriegte mit,krieg mit,kriegt mit,haben,mitzukriegen
interpolieren,interpoliere,interpolierst,interpoliert,interpolierte,interpoliert,interpolierte,interpolier,interpoliert,haben,interzupolieren
aufsaugen,sauge auf,saugst auf,saugt auf,saugte auf,aufgesaugt,saugte auf,saug auf,saugt auf,haben,aufzusaugen
davonlaufen,laufe davon,läufst davon,läuft davon,lief davon,davongelaufen,liefe davon,lauf davon,lauft davon,sein,davonzulaufen
anregen,rege an,regst an,regt an,regte an,angeregt,regte an,reg an,regt an,haben,anzuregen
anfachen,fache an,fachst an,facht an,fachte an,angefacht,fachte an,fach an,facht an,haben,anzufachen
herbeieilen,eile herbei,eilst herbei,eilt herbei,eilte herbei,herbeigeeilt,eilte herbei,eil herbei,eilt herbei,sein,herzubeieilen
antrinken,trinke an,trinkst an,trinkt an,trank an,angetrunken,tränke an,trink an,trinkt an,haben,anzutrinken
zerfetzen,zerfetze,zerfetzt,zerfetzt,zerfetzte,zerfetzt,zerfetzte,zerfetz,zerfetzt,haben,zu zerfetzen
aufheitern,heitere auf,heiterst auf,heitert auf,heiterte auf,aufgeheitert,heiterte auf,heiter auf,heitert auf,haben,aufzuheitern
aufgreifen,greife auf,greifst auf,greift auf,griff auf,aufgegriffen,griffe auf,greife auf,greift auf,haben,aufzugreifen
verseuchen,verseuche,verseuchst,verseucht,verseuchte,verseucht,verseuchte,verseuch,verseucht,haben,zu verseuchen
auseinanderhalten,halte auseinander,hältst auseinander,hält auseinander,hielt auseinander,auseinandergehalten,hielte auseinander,halt auseinander,haltet auseinander,haben,auszueinanderhalten
herhalten,halte her,hältst her,hält her,hielt her,hergehalten,hielte her,halte her,haltet her,haben,herzuhalten
vorenthalten,enthalte vor,enthältst vor,enthält vor,enthielt vor,vorenthalten,enthielte vor,enthalte vor,enthaltet vor,haben,zu vorenthalten
ozonisieren,ozonisiere,ozonisierst,ozonisiert,ozonisierte,ozonisiert,ozonisierte,ozonisier,ozonisiert,haben,zu ozonisieren
zuhalten,halte zu,hältst zu,hält zu,hielt zu,zugehalten,hielte zu,halte zu,haltet zu,haben,zuzuhalten
mithalten,halte mit,hältst mit,hält mit,hielt mit,mitgehalten,hielte mit,halte mit,haltet mit,haben,mitzuhalten
stillhalten,halte still,hältst still,hält still,hielt still,stillgehalten,hielte still,halte still,haltet still,haben,stillzuhalten
vorhalten,halte vor,hältst vor,hält vor,hielt vor,vorgehalten,hielte vor,halte vor,haltet vor,haben,zu vorhalten
zurückbehalten,behalte zurück,behältst zurück,behält zurück,behielt zurück,zurückbehalten,behielte zurück,behalte zurück,behaltet zurück,haben,zuzurückbehalten
beibehalten,behalte bei,behältst bei,behält bei,behielt bei,beibehalten,behielte bei,behalte bei,behaltet bei,haben,zu beibehalten
heraushalten,halte heraus,hältst heraus,hält heraus,hielt heraus,herausgehalten,hielte heraus,halte heraus,haltet heraus,haben,herzuaushalten
zusammenhalten,halte zusammen,hältst zusammen,hält zusammen,hielt zusammen,zusammengehalten,hielte zusammen,halte zusammen,haltet zusammen,haben,zuzusammenhalten
bereithalten,halte bereit,hältst bereit,hält bereit,hielt bereit,bereitgehalten,hielte bereit,halt bereit,haltet bereit,haben,zu bereithalten
hochgehen,gehe hoch,gehst hoch,geht hoch,ging hoch,hochgegangen,ginge hoch,geh hoch,geht hoch,sein,hochzugehen
wegfallen,falle weg,fällst weg,fällt weg,fiel weg,weggefallen,fiele weg,falle weg,fallt weg,sein,wegzufallen
hinaufgehen,gehe hinauf,gehst hinauf,geht hinauf,ging hinauf,hinaufgegangen,ginge hinauf,geh hinauf,geht hinauf,sein,hinzuaufgehen
verläppern,verläppere,verläpperst,verläppert,verläpperte,verläppert,verläpperte,verläppere,verläppert,haben,zu verläppern
verkleppern,verkleppere,verklepperst,verkleppert,verklepperte,verkleppert,verklepperte,verklepper,verkleppert,haben,zu verkleppern
oxydieren,oxydiere,oxydierst,oxydiert,oxydierte,oxydiert,oxydierte,oxydier,oxydiert,haben,zu oxydieren
dalken,dalke,dalkst,dalkt,dalkte,gedalkt,dalkte,dalk,dalkt,haben,zu dalken
telben,telbe,tilbst,tilbt,talb,getolben,tülbe,tilb,telbt,haben,zu telben
hupfen,hupfe,hupfst,hupft,hupfte,gehupft,hupfte,hupf,hupft,sein,zu hupfen
schwalchen,schwalche,schwalchst,schwalcht,schwalchte,geschwalcht,schwalchte,schwalch,schwalcht,haben,zu schwalchen
soupieren,soupiere,soupierst,soupiert,soupierte,soupiert,soupierte,soupier,soupiert,haben,zu soupieren
belgen,belge,bilgst,bilgt,balg,gebolgen,bülge,bilg,belgt,haben,zu belgen
abschießen,schieße ab,schießt ab,schießt ab,schoss ab,abgeschossen,schösse ab,schieß ab,schießt ab,haben,abzuschießen
hochstilisieren,stilisiere hoch,stilisierst hoch,stilisiert hoch,stilisierte hoch,hochstilisiert,stilisierte hoch,stilisier hoch,stilisiert hoch,haben,hochzustilisieren
verschärfen,verschärfe,verschärfst,verschärft,verschärfte,verschärft,verschärfte,verschärf,verschärft,haben,zu verschärfen
verkeilen,verkeile,verkeilst,verkeilt,verkeilte,verkeilt,verkeilte,verkeil,verkeilt,haben,zu verkeilen
vornüberbeugen,beuge vornüber,beugst vornüber,beugt vornüber,beugte vornüber,vornübergebeugt,beugte vornüber,beug vornüber,beugt vornüber,haben,vornüberzubeugen
verleiten,verleite,verleitest,verleitet,verleitete,verleitet,verleitete,verleit,verleitet,haben,zu verleiten
rhodinieren,rhodiniere,rhodinierst,rhodiniert,rhodinierte,rhodiniert,rhodinierte,rhodinier,rhodiniert,haben,zu rhodinieren
pecken,pecke,peckst,peckt,peckte,gepeckt,peckte,pecke,peckt,haben,zu pecken
aufpecken,pecke auf,peckst auf,peckt auf,peckte auf,aufgepeckt,peckte auf,pecke auf,peckt auf,haben,aufzupecken
zukommen,komme zu,kommst zu,kommt zu,kam zu,zugekommen,käme zu,komm zu,kommt zu,sein,zuzukommen
unterkommen,komme unter,kommst unter,kommt unter,kam unter,untergekommen,käme unter,komm unter,kommt unter,sein,unterzukommen
einblenden,blende ein,blendest ein,blendet ein,blendete ein,eingeblendet,blendete ein,blend ein,blendet ein,haben,einzublenden
aufheizen,heize auf,heizt auf,heizt auf,heizte auf,aufgeheizt,heizte auf,heiz auf,heizt auf,haben,aufzuheizen
verstauchen,verstauche,verstauchst,verstaucht,verstauchte,verstaucht,verstauchte,verstauch,verstaucht,haben,zu verstauchen
duplieren,dupliere,duplierst,dupliert,duplierte,dupliert,duplierte,duplier,dupliert,haben,zu duplieren
dublieren,dubliere,dublierst,dubliert,dublierte,dubliert,dublierte,dublier,dubliert,haben,zu dublieren
doublieren,doubliere,doublierst,doubliert,doublierte,doubliert,doublierte,doublier,doubliert,haben,zu doublieren
gegenprüfen,prüfe gegen,prüfst gegen,prüft gegen,prüfte gegen,gegengeprüft,prüfte gegen,prüf gegen,prüft gegen,haben,zu gegenprüfen
gewahren,gewahre,gewahrst,gewahrt,gewahrte,gewahrt,gewahrte,gewahr,gewahrt,haben,zu gewahren
einweichen,weiche ein,weichst ein,weicht ein,weichte ein,eingeweicht,weichte ein,weich ein,weicht ein,haben,einzuweichen
freischalten,schalte frei,schaltest frei,schaltet frei,schaltete frei,freigeschaltet,schaltete frei,schalt frei,schaltet frei,haben,freizuschalten
nahebringen,bringe nahe,bringst nahe,bringt nahe,brachte nahe,nahegebracht,brächte nahe,bring nahe,bringt nahe,haben,nahezubringen
watschen,watsche,watschst,watscht,watschte,gewatscht,watschte,watsch,watscht,haben,zu watschen
retirieren,retiriere,retirierst,retiriert,retirierte,retiriert,retirierte,retirier,retiriert,sein,zu retirieren
bekanntgeben,gebe bekannt,gibst bekannt,gibt bekannt,gab bekannt,bekanntgegeben,gäbe bekannt,gib bekannt,gebt bekannt,haben,zu bekanntgeben
aufeinanderbeißen,beiße aufeinander,beißt aufeinander,beißt aufeinander,biss aufeinander,aufeinandergebissen,bisse aufeinander,beiß aufeinander,beißt aufeinander,haben,aufzueinanderbeißen
bekannt geben,gebe bekannt,gibst bekannt,gibt bekannt,gab bekannt,bekannt gegeben,gäbe bekannt,gib bekannt,gebt bekannt,haben,zu bekannt geben
auffliegen,fliege auf,fliegst auf,fliegt auf,flog auf,aufgeflogen,flöge auf,flieg auf,fliegt auf,sein,aufzufliegen
auskundschaften,kundschafte aus,kundschaftest aus,kundschaftet aus,kundschaftete aus,ausgekundschaftet,kundschaftete aus,kundschafte aus,kundschaftet aus,haben,auszukundschaften
nachzählen,zähle nach,zählst nach,zählt nach,zählte nach,nachgezählt,zählte nach,zähl nach,zählt nach,haben,nachzuzählen
zuwiderhandeln,handle zuwider,handelst zuwider,handelt zuwider,handelte zuwider,zuwidergehandelt,handelte zuwider,handel zuwider,handelt zuwider,haben,zuzuwiderhandeln
auseinandergehen,gehe auseinander,gehst auseinander,geht auseinander,ging auseinander,auseinandergegangen,ginge auseinander,geh auseinander,geht auseinander,sein,auszueinandergehen
disqualifizieren,disqualifiziere,disqualifizierst,disqualifiziert,disqualifizierte,disqualifiziert,disqualifizierte,disqualifizier,disqualifiziert,haben,zu disqualifizieren
daherreden,rede daher,redest daher,redet daher,redete daher,dahergeredet,redete daher,red daher,redet daher,haben,daherzureden
harpunieren,harpuniere,harpunierst,harpuniert,harpunierte,harpuniert,harpunierte,harpuniere,harpuniert,haben,zu harpunieren
translatieren,translatiere,translatierst,translatiert,translatierte,translatiert,translatierte,translatier,translatiert,haben,zu translatieren
herumkrakeelen,krakeele herum,krakeelst herum,krakeelt herum,krakeelte herum,herumkrakeelt,krakeelte herum,krakeel herum,krakeelt herum,haben,herzuumkrakeelen
nassauern,nassauere,nassauerst,nassauert,nassauerte,genassauert,nassauerte,nassauer,nassauert,haben,zu nassauern
handyfonieren,handyfoniere,handyfonierst,handyfoniert,handyfonierte,handyfoniert,handyfonierte,handyfonier,handyfoniert,haben,zu handyfonieren
anfüllen,fülle an,füllst an,füllt an,füllte an,angefüllt,füllte an,füll an,füllt an,haben,anzufüllen
ausstechen,steche aus,stichst aus,sticht aus,stach aus,ausgestochen,stäche aus,stich aus,stecht aus,haben,auszustechen
abmarschieren,marschiere ab,marschierst ab,marschiert ab,marschierte ab,abmarschiert,marschierte ab,marschier ab,marschiert ab,haben,abzumarschieren
aussäen,säe aus,säst aus,sät aus,säte aus,ausgesät,säte aus,sä aus,sät aus,haben,auszusäen
ösen,öse,öst,öst,öste,geöst,öste,ös,öst,haben,zu ösen
polen,pole,polst,polt,polte,gepolt,polte,pol,polt,haben,zu polen
wegleugnen,leugne weg,leugnest weg,leugnet weg,leugnete weg,weggeleugnet,leugnete weg,leugne weg,leugnet weg,haben,wegzuleugnen
fossilisieren,fossilisiere,fossilisierst,fossilisiert,fossilisierte,fossilisiert,fossilisierte,fossilisier,fossilisiert,sein,zu fossilisieren
entzweigehen,—,—,geht entzwei,ging entzwei,entzweigegangen,ginge entzwei,—,—,sein,zu entzweigehen
schlechtmachen,mache schlecht,machst schlecht,macht schlecht,machte schlecht,schlechtgemacht,machte schlecht,mach schlecht,macht schlecht,haben,schlechtzumachen
zusammenballen,balle zusammen,ballst zusammen,ballt zusammen,ballte zusammen,zusammengeballt,ballte zusammen,ball zusammen,ballt zusammen,haben,zuzusammenballen
zusammenbinden,binde zusammen,bindest zusammen,bindet zusammen,band zusammen,zusammengebunden,bände zusammen,bind zusammen,bindet zusammen,haben,zuzusammenbinden
hinterhertelefonieren,telefoniere hinterher,telefonierst hinterher,telefoniert hinterher,telefonierte hinterher,hinterhertelefoniert,telefonierte hinterher,telefonier hinterher,telefoniert hinterher,haben,zu hinterhertelefonieren
untermieten,miete unter,mietest unter,mietet unter,mietete unter,untergemietet,mietete unter,miete unter,mietet unter,haben,zu untermieten
aufeinanderfolgen,folge aufeinander,folgst aufeinander,folgt aufeinander,folgte aufeinander,aufeinandergefolgt,folgte aufeinander,folg aufeinander,folgt aufeinander,sein,aufzueinanderfolgen
herangehen,gehe heran,gehst heran,geht heran,ging heran,herangegangen,ginge heran,geh heran,geht heran,sein,herzuangehen
