Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
landlord,s,,gendered,function,"['owner', 'property owner', 'they', 'owners', 'property owners']","['owners', 'property owners']","['owner', 'property owner', 'they', 'owners', 'property owners']"
layman,s,,gendered,function,"['layperson', 'they', 'lay clergy', 'lay ministry', 'laypersons', 'laypeople']","['laypersons', 'laypeople', 'lay clergy', 'lay ministry']","['layperson', 'they', 'lay clergy', 'lay ministry', 'laypersons', 'laypeople']"
leader,s,1,gendered,leadership,"['they', 'management', 'higher management', 'upper management', 'leaders', 'people in leadership roles', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who sphapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course""]","['leaders', 'people in leadership roles', 'management', 'higher management', 'upper management']","['management', 'higher management', 'upper management', 'they', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who sphapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course"", 'leaders', 'people in leadership roles']"
leadership,s,1,gendered,hidden_image,"['guidance', 'coaching', 'inspiration', 'communication of expectations', 'shaping of company strategy', 'choosing a course of action', ""charting the company's course"", 'management', 'higher management', 'upper management']","['management', 'higher management', 'upper management']","['management', 'higher management', 'upper management', 'guidance', 'coaching', 'inspiration', 'communication of expectations', 'shaping of company strategy', 'choosing a course of action', ""charting the company's course""]"
postman,s,,gendered,titles,"['mailperson', 'mail carrier', 'postal worker', 'they', 'mail', 'mail persons', 'mail carriers', 'postal workers']","['mail persons', 'mail carriers', 'postal workers', 'mail']","['mail', 'mailperson', 'mail carrier', 'postal worker', 'they', 'mail persons', 'mail carriers', 'postal workers']"
man-bag,s,,gendered,male_stereotype,['handbag'],[''],['handbag']
man-bun,s,,gendered,male_stereotype,['bun'],[''],['bun']
man-day,s,,gendered,hidden_image,"['person-day', 'person-days']",['person-days'],"['person-day', 'person-days']"
man-hour,s,,gendered,hidden_image,"['person-hour', 'labour hour', 'person-hours', 'labour hours', 'amount of work done in ine hour']","['person-hours', 'labour hours']","['person-hour', 'labour hour', 'amount of work done in ine hour', 'person-hours', 'labour hours']"
man-hunt,s,,gendered,hidden_image,"['intensive search for a person', 'organised search for a criminal/suspect/escaped convict by law enforcement agencies']",[''],"['intensive search for a person', 'organised search for a criminal/suspect/escaped convict by law enforcement agencies']"
man-kini,s,,gendered,male_stereotype,"['sling swimsuit', 'slingshot bikini']",[''],"['sling swimsuit', 'slingshot bikini']"
man-power,s,1,gendered,hidden_image,"['workforce', 'labour force', 'personnel', 'pool', 'staff', 'the number of people available to do/handle a job', 'the number of people it takes to (...)']",[''],"['workforce', 'labour force', 'personnel', 'pool', 'staff', 'the number of people available to do/handle a job', 'the number of people it takes to (...)']"
man-scara,s,,gendered,male_stereotype,['mascara'],[''],['mascara']
man-to-man,s,,gendered,hidden_image,['person-to-person'],[''],['person-to-person']
man-trap,s,,gendered,hidden_image,"['snare', 'outdoor trap for trespassers/poachers', 'double-door single-person access control space']",[''],"['snare', 'outdoor trap for trespassers/poachers', 'double-door single-person access control space']"
manageress,s,,gendered,titles,"['manager', 'they', 'management', 'management team', 'managers', 'person in a managing role', 'person managing people (tasks, projects)']","['managers', 'management team', 'management']","['management', 'manager', 'they', 'person in a managing role', 'person managing people (tasks, projects)', 'management team', 'managers']"
manbag,s,,gendered,male_stereotype,['handbag'],[''],['handbag']
manbun,s,,gendered,male_stereotype,['bun'],[''],['bun']
manday,s,,gendered,hidden_image,"['person-day', 'person-days']",['person-days'],"['person-day', 'person-days']"
manhelper,s,,gendered,hidden_image,"['paintbrush extender', 'long pole for holding a paintbrush']",[''],"['paintbrush extender', 'long pole for holding a paintbrush']"
manhole,s,,gendered,hidden_image,"['personhole', 'utility hole', 'maintenance hole', 'sewer hole', 'sewer maintenance hole']",[''],"['personhole', 'utility hole', 'maintenance hole', 'sewer hole', 'sewer maintenance hole']"
manhood,s,,gendered,hidden_image,"['adulthood', 'male gender', 'traditional concepts of masculinity', 'male genitals']",[''],"['adulthood', 'male gender', 'traditional concepts of masculinity', 'male genitals']"
manhour,s,,gendered,hidden_image,"['person-hour', 'labour hour', 'person-hours', 'labour hours', 'amount of work done in ine hour']","['person-hours', 'labour hours']","['person-hour', 'labour hour', 'amount of work done in ine hour', 'person-hours', 'labour hours']"
manhunt,s,,gendered,hidden_image,"['intensive search for a person', 'organised search for a criminal/suspect/escaped convict by law enforcement agencies']",[''],"['intensive search for a person', 'organised search for a criminal/suspect/escaped convict by law enforcement agencies']"
mankind,s,,gendered,hidden_image,"['humanity', 'humankind']",[''],"['humanity', 'humankind']"
mankini,s,,gendered,male_stereotype,"['sling swimsuit', 'slingshot bikini']",[''],"['sling swimsuit', 'slingshot bikini']"
manpower,s,1,gendered,hidden_image,"['workforce', 'labour force', 'personnel', 'pool', 'staff', 'the number of people available to do/handle a job', 'the number of people it takes to (...)']",[''],"['workforce', 'labour force', 'personnel', 'pool', 'staff', 'the number of people available to do/handle a job', 'the number of people it takes to (...)']"
manscara,s,,gendered,male_stereotype,['mascara'],[''],['mascara']
manslaughter,s,,gendered,hidden_image,['^'],['^'],['^']
mantrap,s,,gendered,hidden_image,"['snare', 'outdoor trap for trespassers/poachers', 'double-door single-person access control space']",[''],"['snare', 'outdoor trap for trespassers/poachers', 'double-door single-person access control space']"
manway,s,,gendered,hidden_image,['passage wide enough for a single person'],[''],['passage wide enough for a single person']
mayoress,s,,gendered,titles,"['mayor', 'they', 'mayors']",['mayors'],"['mayor', 'they', 'mayors']"
middle-man,s,,gendered,function,"['intermediary', 'mediator', 'go-between', 'person acting as an agent between two parties']",[''],"['intermediary', 'mediator', 'go-between', 'person acting as an agent between two parties']"
middleman,s,,gendered,function,"['intermediary', 'mediator', 'go-between', 'person acting as an agent between two parties']",[''],"['intermediary', 'mediator', 'go-between', 'person acting as an agent between two parties']"
operator,s,1,gendered,function,"['they', 'operations', 'operations team', 'operators']","['operators', 'operations team', 'operations']","['operations', 'they', 'operations team', 'operators']"
participant,s,,gendered,function,"['they', 'participation', 'people participating', 'participants', 'person participating']","['people participating', 'participants', 'participation']","['participation', 'they', 'person participating', 'people participating', 'participants']"
partner,s,1,gendered,function,"['they', 'partnership', 'partners']","['partners', 'partnership']","['partnership', 'they', 'partners']"
planner,s,1,gendered,titles,"['they', 'planning', 'planning department', 'planning team', 'planners']","['planners', 'planning department', 'planning team', 'planning']","['planning', 'they', 'planning department', 'planning team', 'planners']"
policeman,s,,gendered,titles,"['police officer', 'they', 'police', 'precinct', 'police officers']","['police officers', 'police', 'precinct']","['police', 'precinct', 'police officer', 'they', 'police officers']"
postman,s,,gendered,titles,"['postal worker', 'they', 'post', 'mail', 'postal workers']","['postal workers', 'post', 'mail']","['post', 'mail', 'postal worker', 'they', 'postal workers']"
processor,s,1,gendered,function,"['they', 'processing']",['processing'],"['processing', 'they']"
professor,s,1,gendered,function,"['they', 'professorship', 'chair', 'professors']","['professors', 'professorship', 'chair']","['professorship', 'chair', 'they', 'professors']"
researcher,s,1,gendered,function,"['they', 'research', 'research team', 'researchers']","['researchers', 'research team', 'research']","['research', 'they', 'research team', 'researchers']"
resident,s,,gendered,function,"['they', '(in health care) residency', 'person completing their medical residency']",['(in health care) residency'],"['(in health care) residency', 'they', 'person completing their medical residency']"
rollouter,s,1,gendered,titles,"['rollout manager', 'they', 'rollout management']",['rollout management'],"['rollout management', 'rollout manager', 'they']"
salesman,s,,gendered,titles,"['salesperson', 'sales associate', 'sales representative', 'sales assistant', 'they']",[''],"['salesperson', 'sales associate', 'sales representative', 'sales assistant', 'they']"
scientist,s,1,gendered,function,"['they', 'science']",['science'],"['science', 'they']"
sir,s,1,gendered,male_stereotype,['you'],[''],['you']
specialist,s,,gendered,function,"['they', 'specialists', 'person with specialised professional skills', 'someone with a specialised career', 'person who specialises in (...)']",['specialists'],"['they', 'person with specialised professional skills', 'someone with a specialised career', 'person who specialises in (...)', 'specialists']"
spokesman,s,,gendered,function,"['press officer', 'spokesperson', 'representative (for ...)', '(if gender is known) spokeswoman', 'they', 'press officers', 'spokespersons', 'representatives (for ...)', '(if gender is known) spokeswoman', 'person speaking for (...)']","['press officers', 'spokespersons', 'representatives (for ...)', '(if gender is known) spokeswoman']","['press officer', 'spokesperson', 'representative (for ...)', '(if gender is known) spokeswoman', 'they', 'person speaking for (...)', 'press officers', 'spokespersons', 'representatives (for ...)', '(if gender is known) spokeswoman']"
stewardess,s,,gendered,titles,"['flight attendant', 'they', 'cabin crew', 'flight attendants']","['flight attendants', 'cabin crew']","['flight attendant', 'they', 'cabin crew', 'flight attendants']"
student,s,1,gendered,function,"['student body', 'students']","['students', 'student body']","['student body', 'students']"
