Lemma,Word_Type,Category,Primary_subcategory,Alt_split
nugget,s,openly_discriminating,offensive_language,['-']
ogay,s,openly_discriminating,homophobia,['-']
oklahomo,s,openly_discriminating,homophobia,['-']
oreo,s,openly_discriminating,racism,['-']
pak,s,openly_discriminating,xenophobia,['-']
paki,s,openly_discriminating,xenophobia,['-']
pakki,s,openly_discriminating,xenophobia,['-']
papoose,s,openly_discriminating,racism,['-']
penis-face,s,openly_discriminating,offensive_language,['-']
penisface,s,openly_discriminating,offensive_language,['-']
peterpuffer,s,openly_discriminating,homophobia,['-']
pieon,s,openly_discriminating,offensive_language,['-']
piss-ant,s,openly_discriminating,offensive_language,['-']
pissant,s,openly_discriminating,offensive_language,['-']
pisshead,s,openly_discriminating,offensive_language,['-']
poofter,s,openly_discriminating,homophobia,['-']
poophead,s,openly_discriminating,offensive_language,['-']
psycho-bitch,s,openly_discriminating,offensive_language,['-']
psychobitch,s,openly_discriminating,offensive_language,['-']
puke,s,openly_discriminating,offensive_language,['-']
pussy-puncher,s,openly_discriminating,homophobia,['-']
pussypuncher,s,openly_discriminating,homophobia,['-']
putz,s,openly_discriminating,offensive_language,['-']
queaf,s,openly_discriminating,offensive_language,['-']
queef,s,openly_discriminating,offensive_language,['-']
queen,s,openly_discriminating,homophobia,['-']
raghead,s,openly_discriminating,antimuslim,['-']
rat,s,openly_discriminating,offensive_language,['-']
raunch,s,openly_discriminating,offensive_language,['-']
redskin,s,openly_discriminating,racism,['-']
reject,s,openly_discriminating,offensive_language,['-']
scag,s,openly_discriminating,offensive_language,['-']
schlong,s,openly_discriminating,offensive_language,['-']
schmuck,s,openly_discriminating,offensive_language,['-']
scrote,s,openly_discriminating,offensive_language,['-']
scrub,s,openly_discriminating,offensive_language,['-']
scrubb,s,openly_discriminating,offensive_language,['-']
scum-bucket,s,openly_discriminating,offensive_language,['-']
scumbag,s,openly_discriminating,offensive_language,['-']
scumbucket,s,openly_discriminating,offensive_language,['-']
shegetz,s,openly_discriminating,xenophobia,['-']
shemale,s,openly_discriminating,transphobia,['-']
shiksa,s,openly_discriminating,xenophobia,['-']
shitface,s,openly_discriminating,offensive_language,['-']
shitfucker,s,openly_discriminating,offensive_language,['-']
shithead,s,openly_discriminating,offensive_language,['-']
shmuck,s,openly_discriminating,offensive_language,['-']
shrew,s,openly_discriminating,sexism,['-']
shylock,s,openly_discriminating,antisemitism,['-']
sissy,s,openly_discriminating,homophobia,['-']
skag,s,openly_discriminating,offensive_language,['-']
slant-eye,s,openly_discriminating,racism,['-']
slanteye,s,openly_discriminating,racism,['-']
sleazeball,s,openly_discriminating,offensive_language,['-']
slimebag,s,openly_discriminating,offensive_language,['-']
slimeball,s,openly_discriminating,offensive_language,['-']
slitch,s,openly_discriminating,offensive_language,['-']
slub,s,openly_discriminating,offensive_language,['-']
slunt,s,openly_discriminating,offensive_language,['-']
slut,s,openly_discriminating,sexism,['-']
smacktard,s,openly_discriminating,offensive_language,['-']
so-and-so,s,openly_discriminating,offensive_language,['-']
sod,s,openly_discriminating,homophobia,['-']
spic,s,openly_discriminating,xenophobia,['-']
spick,s,openly_discriminating,xenophobia,['-']
spig,s,openly_discriminating,xenophobia,['-']
spik,s,openly_discriminating,xenophobia,['-']
squaw,s,openly_discriminating,racism,['-']
stooge,s,openly_discriminating,offensive_language,['-']
supercrip,s,openly_discriminating,ableism,['-']
switch-hitter,s,openly_discriminating,homophobia,['-']
switchhitter,s,openly_discriminating,homophobia,['-']
taco-head,s,openly_discriminating,xenophobia,['-']
tacohead,s,openly_discriminating,xenophobia,['-']
tard,s,openly_discriminating,ableism,"['-', 'person with a learning disability(...)', 'person with learning disabilities(...)', 'oblivious(...)', 'ignorant(...)', 'lacking understanding(...)', 'reckless person(...)', 'uninformed(...)', 'silly(...)']"
thicklips,s,openly_discriminating,racism,['-']
tosser,s,openly_discriminating,offensive_language,['-']
towel-head,s,openly_discriminating,antimuslim,['-']
towelhead,s,openly_discriminating,antimuslim,['-']
tranny,s,openly_discriminating,transphobia,['-']
transbian,s,openly_discriminating,transphobia,['-']
trick,s,openly_discriminating,offensive_language,['-']
turd,s,openly_discriminating,offensive_language,['-']
twat,s,openly_discriminating,sexism,['-']
twink,s,openly_discriminating,homophobia,['-']
twinkie,s,openly_discriminating,racism,['-']
twit,s,openly_discriminating,offensive_language,['-']
twunt,s,openly_discriminating,offensive_language,['-']
virago,s,openly_discriminating,sexism,['-']
wank,s,openly_discriminating,offensive_language,['-']
wanker,s,openly_discriminating,offensive_language,['-']
wassock,s,openly_discriminating,offensive_language,['-']
wetback,s,openly_discriminating,xenophobia,['-']
whitey,s,openly_discriminating,racism,['-']
whore,s,openly_discriminating,sexism,['-']
witch,s,openly_discriminating,sexism,['-']
woofter,s,openly_discriminating,homophobia,['-']
woolly,s,openly_discriminating,homophobia,['-']
yank,s,openly_discriminating,xenophobia,['-']
yankee,s,openly_discriminating,xenophobia,['-']
yid,s,openly_discriminating,antisemitism,['-']
