Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Problem,s,unconscious_bias,agentic,"['Kernfrage', 'komplexe Aufgabe', 'Schwierigkeit', 'Hindernis', 'komplexe Materie', 'schwere Frage', 'schwieriges Thema', 'Fragestellung', 'Schwachpunkt', 'Beeinträchtigung', 'Erschwernis', 'Haken', 'Engpass', 'Komplikation', 'Fehler', 'Bürde', 'Hürde', 'Fallstrick', 'missliche Lage', 'Unsicherheit', 'komplexe Aufgaben', 'Schwierigkeiten', 'Schwachpunkte', 'Beeinträchtigungen', 'Hindernisse', 'Engpässe', 'Komplikationen', 'Hürden', 'Fallstricke']","['komplexe Aufgaben', 'Schwierigkeiten', 'Schwachpunkte', 'Beeinträchtigungen', 'Hindernisse', 'Engpässe', 'Komplikationen', 'Hürden', 'Fallstricke']","['Kernfrage', 'komplexe Aufgabe', 'Schwierigkeit', 'Hindernis', 'komplexe Materie', 'schwere Frage', 'schwieriges Thema', 'Fragestellung', 'Schwachpunkt', 'Beeinträchtigung', 'Erschwernis', 'Haken', 'Engpass', 'Komplikation', 'Fehler', 'Bürde', 'Hürde', 'Fallstrick', 'missliche Lage', 'Unsicherheit', 'komplexe Aufgaben', 'Schwierigkeiten', 'Schwachpunkte', 'Beeinträchtigungen', 'Hindernisse', 'Engpässe', 'Komplikationen', 'Hürden', 'Fallstricke']"
Rollstuhl,s,unconscious_bias,mobility,"['jemand mit einem Rollstuhl', 'jemand mit Rollstuhl', 'Rollstuhlnutzer~in~/~Rollstuhlnutzer', 'Leute mit Rollstühlen', 'Leute mit Rollstuhl', 'Person mit Rollstuhl(...)']","['Leute mit Rollstühlen', 'Leute mit Rollstuhl', 'Rollstuhlnutzer~innen~/~Rollstuhlnutzer', 'Personen mit Rollstuhl(...)']","['jemand mit einem Rollstuhl', 'jemand mit Rollstuhl', 'Rollstuhlnutzer~in~/~Rollstuhlnutzer', 'Person mit Rollstuhl(...)', 'Leute mit Rollstühlen', 'Leute mit Rollstuhl', 'Rollstuhlnutzer~innen~/~Rollstuhlnutzer', 'Personen mit Rollstuhl(...)']"
Rücksichtslosigkeit,s,unconscious_bias,agentic,"['Fokus auf eigene Aufgaben', 'Fähigkeit, Reibung zu bewältigen', 'Engagement', 'Festhalten an den eigenen Wertigkeiten', '--- nicht auf Menschen beziehen']",['--- nicht auf Menschen beziehen'],"['--- nicht auf Menschen beziehen', 'Fokus auf eigene Aufgaben', 'Fähigkeit, Reibung zu bewältigen', 'Engagement', 'Festhalten an den eigenen Wertigkeiten']"
Schacherei,s,unconscious_bias,antisemitism,"['Feilscherei', 'harte Verhandlungen', 'Geschäftemacherei', 'Gezerre', 'Gefeilsche', 'Feilschereien', 'harte Verhandlungen', 'Geschäftemacherei', 'Gezerre', 'Gefeilsche']","['Feilschereien', 'harte Verhandlungen', 'Geschäftemacherei', 'Gezerre', 'Gefeilsche']","['Feilscherei', 'harte Verhandlungen', 'Geschäftemacherei', 'Gezerre', 'Gefeilsche', 'Feilschereien', 'harte Verhandlungen', 'Geschäftemacherei', 'Gezerre', 'Gefeilsche']"
Schwarzarbeiter,s,unconscious_bias,racist_source,"['Pfuscher --- Österreich', 'illegale Arbeitskraft', 'nicht angemeldete Arbeitnehmer~in~/~Arbeitnehmer', 'Pfuscher --- Österreich', 'illegale Arbeitskräfte', 'nicht angemeldete Arbeitnehmer~innen~/~Arbeitnehmer']","['Pfuscher --- Österreich', 'illegale Arbeitskräfte', 'nicht angemeldete Arbeitnehmer~innen~/~Arbeitnehmer']","['Pfuscher --- Österreich', 'illegale Arbeitskraft', 'nicht angemeldete Arbeitnehmer~in~/~Arbeitnehmer', 'Pfuscher --- Österreich', 'illegale Arbeitskräfte', 'nicht angemeldete Arbeitnehmer~innen~/~Arbeitnehmer']"
Schwarzfahrer,s,unconscious_bias,racist_source,"['Person ohne gültigen Fahrschein', 'Personen ohne gültigen Fahrschein']",['Personen ohne gültigen Fahrschein'],"['Person ohne gültigen Fahrschein', 'Personen ohne gültigen Fahrschein']"
Schwarzliste,s,unconscious_bias,racist_source,"['Negativliste', 'Sperrliste', 'Verbotsliste', 'Index', 'Negativlisten', 'Sperrlisten', 'Verbotslisten', 'Indizes']","['Negativlisten', 'Sperrlisten', 'Verbotslisten', 'Indizes']","['Negativliste', 'Sperrliste', 'Verbotsliste', 'Index', 'Negativlisten', 'Sperrlisten', 'Verbotslisten', 'Indizes']"
Schwarzmaler,s,unconscious_bias,racist_source,"['Pessimist', 'jemand, der nur das Schlechte sieht', 'Mensch, der nur die Schattenseiten sieht', 'Pessimisten', 'Leute, die nur das Schlechte sehen', 'Menschen, die nur die Schattenseiten sehen']","['Pessimisten', 'Leute, die nur das Schlechte sehen', 'Menschen, die nur die Schattenseiten sehen']","['Pessimist', 'jemand, der nur das Schlechte sieht', 'Mensch, der nur die Schattenseiten sieht', 'Pessimisten', 'Leute, die nur das Schlechte sehen', 'Menschen, die nur die Schattenseiten sehen']"
Schwarzseher,s,unconscious_bias,racist_source,"['Pessimist', 'jemand, der nur das Schlechte sieht', 'Mensch, der nur die Schattenseiten sieht', 'Pessimisten', 'Leute, die nur das Schlechte sehen', 'Menschen, die nur die Schattenseiten sehen']","['Pessimisten', 'Leute, die nur das Schlechte sehen', 'Menschen, die nur die Schattenseiten sehen']","['Pessimist', 'jemand, der nur das Schlechte sieht', 'Mensch, der nur die Schattenseiten sieht', 'Pessimisten', 'Leute, die nur das Schlechte sehen', 'Menschen, die nur die Schattenseiten sehen']"
Schädigung,s,unconscious_bias,ability,"['Behinderung', '--- nicht auf Menschen beziehen', 'Behinderungen']","['Behinderungen', '--- nicht auf Menschen beziehen']","['--- nicht auf Menschen beziehen', 'Behinderung', 'Behinderungen']"
Schützling,s,unconscious_bias,ability,"['Mensch mit Behinderungen', '--- nicht für Mensch mit Behinderungen', 'Mensch mit Behinderungen(...)', 'jemand, der durch Barrieren in seiner Teilhabe behindert wird(...)', 'Mensch mit Assistenzbedarf(...)', 'Person mit Unterstützungsbedarf(...)']",['--- nicht für Mensch mit Behinderungen'],"['--- nicht für Mensch mit Behinderungen', 'Mensch mit Behinderungen', 'Mensch mit Behinderungen(...)', 'jemand, der durch Barrieren in seiner Teilhabe behindert wird(...)', 'Mensch mit Assistenzbedarf(...)', 'Person mit Unterstützungsbedarf(...)']"
Sehschwäche,s,unconscious_bias,vision,"['sehbeeinträchtigt', 'sehbehindert', 'Sehbehinderung']",['Sehbehinderung'],"['Sehbehinderung', 'sehbeeinträchtigt', 'sehbehindert']"
Sklave,s,unconscious_bias,racist_source,"['Opfer von Menschenhandel', 'Sklaverei', 'Opfer des Menschenhandels', 'Mensch, der versklavt wurde (ist)(...)', 'versklavter Mensch(...)']","['Opfer des Menschenhandels', 'Sklaverei', 'versklavte Menschen(...)', 'Menschen, die versklavt wurden (sind)(...)', 'versklavte Männer(...)']","['Sklaverei', 'Opfer von Menschenhandel', 'Mensch, der versklavt wurde (ist)(...)', 'versklavter Mensch(...)', 'Opfer des Menschenhandels', 'versklavte Menschen(...)', 'Menschen, die versklavt wurden (sind)(...)', 'versklavte Männer(...)']"
Sklavin,s,unconscious_bias,racist_source,"['Opfer von Menschenhandel', 'Sklaverei', 'Opfer des Menschenhandels', 'Mensch, der versklavt wurde (ist)(...)', 'versklavter Mensch(...)']","['Opfer des Menschenhandels', 'Sklaverei', 'versklavte Menschen(...)', 'Menschen, die versklavt wurden (sind)(...)', 'versklavte Frauen(...)']","['Sklaverei', 'Opfer von Menschenhandel', 'Mensch, der versklavt wurde (ist)(...)', 'versklavter Mensch(...)', 'Opfer des Menschenhandels', 'versklavte Menschen(...)', 'Menschen, die versklavt wurden (sind)(...)', 'versklavte Frauen(...)']"
Sohn,s,unconscious_bias,gender_identity,"['Kind', 'Kid', 'Sprössling', 'Nachwuchs', 'Nachkomme', 'Nachwuchs', 'Nachkommenschaft', 'Kinder', 'Kids', 'Sprösslinge']","['Kinder', 'Kids', 'Sprösslinge', 'Nachwuchs', 'Nachkommenschaft']","['Kind', 'Kid', 'Sprössling', 'Nachwuchs', 'Nachkomme', 'Nachwuchs', 'Nachkommenschaft', 'Kinder', 'Kids', 'Sprösslinge']"
Sonntagsruhe,s,unconscious_bias,belief,"['Ruhe am freien Tag', 'Ausruhen am Wochenende', 'Erholung an arbeitsfreien Tagen', '--- nur im rechtlichen oder religiösen Kontext', 'gesetzlich geschützte Ruhe am grundsätzlich arbeitsfreien Sonntag(...)', 'sich erholen, wenn jemand frei hat(...)']",['--- nur im rechtlichen oder religiösen Kontext'],"['--- nur im rechtlichen oder religiösen Kontext', 'Ruhe am freien Tag', 'Ausruhen am Wochenende', 'Erholung an arbeitsfreien Tagen', 'gesetzlich geschützte Ruhe am grundsätzlich arbeitsfreien Sonntag(...)', 'sich erholen, wenn jemand frei hat(...)']"
Sorgenkind,s,unconscious_bias,ability,"['Mensch mit Behinderungen', '--- nicht für Mensch mit Behinderungen', 'Mensch mit Behinderungen(...)', 'jemand, der durch Barrieren in seiner Teilhabe behindert wird(...)', 'Mensch mit Assistenzbedarf(...)', 'Person mit Unterstützungsbedarf(...)']",['--- nicht für Mensch mit Behinderungen'],"['--- nicht für Mensch mit Behinderungen', 'Mensch mit Behinderungen', 'Mensch mit Behinderungen(...)', 'jemand, der durch Barrieren in seiner Teilhabe behindert wird(...)', 'Mensch mit Assistenzbedarf(...)', 'Person mit Unterstützungsbedarf(...)']"
Sportsfreund,s,unconscious_bias,sports_terms,"['Sportbegeisterte', 'Fans', 'Person, die ihr Team auf dem gemeinsamen Weg unterstützt(...)', 'Mensch, der ein faires Miteinander schätzt(...)', 'jemand, der mit dem Team auf gemeinsame Ziele hinarbeitet(...)', 'jemand, der gemeinsame Regeln respektiert(...)']","['Sportbegeisterte', 'Fans']","['Person, die ihr Team auf dem gemeinsamen Weg unterstützt(...)', 'Mensch, der ein faires Miteinander schätzt(...)', 'jemand, der mit dem Team auf gemeinsame Ziele hinarbeitet(...)', 'jemand, der gemeinsame Regeln respektiert(...)', 'Sportbegeisterte', 'Fans']"
Tochter,s,unconscious_bias,gender_identity,"['Kind', 'Kid', 'Sprössling', 'Nachwuchs', 'Nachkomme', 'Nachwuchs', 'Nachkommenschaft', 'Kinder', 'Kids', 'Sprösslinge']","['Kinder', 'Kids', 'Sprösslinge', 'Nachwuchs', 'Nachkommenschaft']","['Kind', 'Kid', 'Sprössling', 'Nachwuchs', 'Nachkomme', 'Nachwuchs', 'Nachkommenschaft', 'Kinder', 'Kids', 'Sprösslinge']"
