Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
streitlustig,a,,unconscious_bias,agentic,hard-hearted,"['gesprächsbereit', 'hinterfragend', 'argumentierfreudig', 'kommunikativ', 'diskussionsbereit', 'mit Freude am Gedankenaustausch', 'offen für einen Austausch', 'in der Lage, Reibungen zu bewältigen', 'das Gespräch suchend', 'bereit, (...) zu vertreten', 'sich gern mit Energie (für ...) einbringen  bereit, sich (für ...) einzusetzen', 'bereit, den Standpunkt zu erläutern', 'offen für einen Austausch']",[''],"['gesprächsbereit', 'hinterfragend', 'argumentierfreudig', 'kommunikativ', 'diskussionsbereit', 'mit Freude am Gedankenaustausch', 'offen für einen Austausch', 'in der Lage, Reibungen zu bewältigen', 'das Gespräch suchend', 'bereit, (...) zu vertreten', 'sich gern mit Energie (für ...) einbringen  bereit, sich (für ...) einzusetzen', 'bereit, den Standpunkt zu erläutern', 'offen für einen Austausch']"
streitsüchtig,a,,unconscious_bias,agentic,hard-hearted,"['gesprächsbereit', 'hinterfragend', 'argumentierfreudig', 'kommunikativ', 'diskussionsbereit', 'mit Freude am Gedankenaustausch', 'offen für einen Austausch', 'in der Lage, Reibungen zu bewältigen', 'das Gespräch suchend', 'bereit, (...) zu vertreten', 'sich gern mit Energie (für ...) einbringen  bereit, sich (für ...) einzusetzen', 'bereit, den Standpunkt zu erläutern', 'offen für einen Austausch']",[''],"['gesprächsbereit', 'hinterfragend', 'argumentierfreudig', 'kommunikativ', 'diskussionsbereit', 'mit Freude am Gedankenaustausch', 'offen für einen Austausch', 'in der Lage, Reibungen zu bewältigen', 'das Gespräch suchend', 'bereit, (...) zu vertreten', 'sich gern mit Energie (für ...) einbringen  bereit, sich (für ...) einzusetzen', 'bereit, den Standpunkt zu erläutern', 'offen für einen Austausch']"
stur,a,,unconscious_bias,agentic,hard-hearted,"['zuverlässig', 'klar', 'unverdrossen', 'unbeirrbar', 'loyal', 'geduldig']",[''],"['zuverlässig', 'klar', 'unverdrossen', 'unbeirrbar', 'loyal', 'geduldig']"
stärker,a,,unconscious_bias,agentic,rough,"['stabiler', 'resilienter', 'zuverlässiger', 'fachkundiger', 'erfahrener', 'ausgeglichener']",[''],"['stabiler', 'resilienter', 'zuverlässiger', 'fachkundiger', 'erfahrener', 'ausgeglichener']"
tapfer,a,,unconscious_bias,agentic,competitive,"['zupackend', 'diszipliniert', 'resilient', 'einsatzbereit', 'mit Spaß an Neuem', 'offen für neue Entdeckungen', 'standhaft', 'aufrecht', 'ehrenhaft']",[''],"['zupackend', 'diszipliniert', 'resilient', 'einsatzbereit', 'mit Spaß an Neuem', 'offen für neue Entdeckungen', 'standhaft', 'aufrecht', 'ehrenhaft']"
treiben,v,,unconscious_bias,agentic,competitive,"['motivieren', 'inspirieren', 'beschwingen', 'die Richtung vorgeben', 'Freude am Erreichen von Meilensteinen empfinden', 'den Takt vorgeben']",[''],"['motivieren', 'inspirieren', 'beschwingen', 'die Richtung vorgeben', 'Freude am Erreichen von Meilensteinen empfinden', 'den Takt vorgeben']"
treibend,a,,unconscious_bias,agentic,competitive,"['motivierend', 'inspirierend', 'die Richtung vorgebend', 'mit Freude am Erreichen von Meilensteinen']",[''],"['motivierend', 'inspirierend', 'die Richtung vorgebend', 'mit Freude am Erreichen von Meilensteinen']"
umsetzungsstark,a,,unconscious_bias,agentic,hard-hearted,"['umsetzungsfreudig', 'tatkräftig', 'Arbeiten mit Elan zum Abschluss bringend']",[''],"['umsetzungsfreudig', 'tatkräftig', 'Arbeiten mit Elan zum Abschluss bringend']"
unabhängig,a,,unconscious_bias,agentic,competitive,"['neutral', 'unvoreingenommen', 'kompetent und einfallsreich', 'persönliche Verantwortung tragend', 'sich zu helfen wissend', 'auf eigene Aufgaben fokussiert']",[''],"['neutral', 'unvoreingenommen', 'kompetent und einfallsreich', 'persönliche Verantwortung tragend', 'sich zu helfen wissend', 'auf eigene Aufgaben fokussiert']"
unbedingter Willen,a+s,26-01-2022,unconscious_bias,agentic,,"['Fokus', 'Geduld', 'Strebsamkeit', 'langer Atem', 'Fähigkeit, an Dingen dranzubleiben']",[''],"['Fokus', 'Geduld', 'Strebsamkeit', 'langer Atem', 'Fähigkeit, an Dingen dranzubleiben']"
