Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Angriff,s,,unconscious_bias,agentic,competitive,"['Aufforderung', 'Hinterfragen', 'Infragestellen', 'Austesten', 'Ermahnung', 'Diskriminierung', 'Verletzung', 'Kränkung', 'Prüfen auf auf Glaubwürdigkeit (Intention, Gründe)']",[''],"['Aufforderung', 'Hinterfragen', 'Infragestellen', 'Austesten', 'Ermahnung', 'Diskriminierung', 'Verletzung', 'Kränkung', 'Prüfen auf auf Glaubwürdigkeit (Intention, Gründe)']"
Ausdauer,s,,unconscious_bias,agentic,competitive,"['Ruhe', 'Geduld', 'Besonnenheit', 'einen langen Atem haben', 'Fähigkeit, an Dingen dranzubleiben,', 'langfristiges Planen/Denken']",[''],"['Ruhe', 'Geduld', 'Besonnenheit', 'einen langen Atem haben', 'Fähigkeit, an Dingen dranzubleiben,', 'langfristiges Planen/Denken']"
Auseinandersetzung,s,,unconscious_bias,agentic,hard-hearted,"['Meinungsaustausch', 'Gedankenaustausch', 'Diskussion', 'Austausch', 'Austausch als Lernchance ']",[''],"['Meinungsaustausch', 'Gedankenaustausch', 'Diskussion', 'Austausch', 'Austausch als Lernchance ']"
Autonomität,s,,unconscious_bias,agentic,competitive,"['Verantwortungsbereitschaft', 'Einsatz der eigenen Kompetenz', 'Fokus auf eigene Aufgaben']",[''],"['Verantwortungsbereitschaft', 'Einsatz der eigenen Kompetenz', 'Fokus auf eigene Aufgaben']"
Autorität,s,,unconscious_bias,agentic,rough,"['Kompetenz', 'Erfahrung', 'Entscheidungsbefugnis', 'Verantwortung', 'Sachkenntnis', 'Person, die Verantwortung trägt', 'Person, die als Vorbild wirkt', 'jemand mit Überblick', 'jemand, dessen Meinung (Wort) du vertraust', 'jemand, der einen Vertrauensvorschuss genießt']",[''],"['Kompetenz', 'Erfahrung', 'Entscheidungsbefugnis', 'Verantwortung', 'Sachkenntnis', 'Person, die Verantwortung trägt', 'Person, die als Vorbild wirkt', 'jemand mit Überblick', 'jemand, dessen Meinung (Wort) du vertraust', 'jemand, der einen Vertrauensvorschuss genießt']"
Beharrlichkeit,s,,unconscious_bias,agentic,competitive,"['Ruhe und Besonnenheit', 'Geduld', 'Umsetzungsfreude', 'Fokus']",[''],"['Ruhe und Besonnenheit', 'Geduld', 'Umsetzungsfreude', 'Fokus']"
Bestimmtheit,s,,unconscious_bias,agentic,hard-hearted,"['Klarheit', 'Offenheit', 'Nachdruck']",[''],"['Klarheit', 'Offenheit', 'Nachdruck']"
Dienstleistungsorientierung,s,,unconscious_bias,agentic,cultural,"['Serviceorientierung', 'Einfühlsamkeit im Umgang mit Kundschaft', 'Motivation, Kundschaft zu deren Zufriedenheit zu betreuen', 'Engagement im Erfüllen der Erwartungen der Kundschaft']",[''],"['Serviceorientierung', 'Einfühlsamkeit im Umgang mit Kundschaft', 'Motivation, Kundschaft zu deren Zufriedenheit zu betreuen', 'Engagement im Erfüllen der Erwartungen der Kundschaft']"
Direktheit,s,,unconscious_bias,agentic,rough,"['Offenherzigkeit', 'Offenheit', 'Geradlinigkeit', 'Aufrichtigkeit', 'von Mensch zu Mensch', 'nicht hinterm Berg halten', 'das Herz auf der Zunge tragen', 'offene Worte schätzen', 'Offenheit im Äußern von Besorgnis']",[''],"['Offenherzigkeit', 'Offenheit', 'Geradlinigkeit', 'Aufrichtigkeit', 'von Mensch zu Mensch', 'nicht hinterm Berg halten', 'das Herz auf der Zunge tragen', 'offene Worte schätzen', 'Offenheit im Äußern von Besorgnis']"
Drive,s,,unconscious_bias,agentic,hard-hearted,"['Engagement', 'Freude an der Sache', 'Begeisterung']",[''],"['Engagement', 'Freude an der Sache', 'Begeisterung']"
Druck,s,,unconscious_bias,agentic,competitive,"['Erwartungen', 'Meilensteine im Blick', 'Erkennen von Prioritäten', 'kommunizierte Erwartungen']",['Erwartungen'],"['Meilensteine im Blick', 'Erkennen von Prioritäten', 'kommunizierte Erwartungen', 'Erwartungen']"
Druck aufsetzen,s+v,,unconscious_bias,agentic,competitive,"['Umsetzung begleiten', 'in der Umsetzung unterstützen', 'auf gemeinsame Meilensteine einstimmen']",[''],"['Umsetzung begleiten', 'in der Umsetzung unterstützen', 'auf gemeinsame Meilensteine einstimmen']"
Druck aushalten,s+v,,unconscious_bias,agentic,competitive,"['Ruhe bewahren', 'in Ruhe Arbeiten abschliessen', 'besonnen bleiben', 'resilient sein']",[''],"['Ruhe bewahren', 'in Ruhe Arbeiten abschliessen', 'besonnen bleiben', 'resilient sein']"
Druck ausüben,s+v,,unconscious_bias,agentic,competitive,"['Umsetzung begleiten', 'in der Umsetzung unterstützen', 'auf gemeinsame Meilensteine einstimmen', 'Erwartungen kommunizieren']",[''],"['Umsetzung begleiten', 'in der Umsetzung unterstützen', 'auf gemeinsame Meilensteine einstimmen', 'Erwartungen kommunizieren']"
Durchhaltevermögen,s,,unconscious_bias,agentic,competitive,"['einen langen Atem haben', 'Fähigkeit, an Dingen dranzubleiben']",[''],"['einen langen Atem haben', 'Fähigkeit, an Dingen dranzubleiben']"
Durchhaltewillen,s,,unconscious_bias,agentic,competitive,"['langen Atem haben', 'Fähigkeit, an Dingen dranzubleiben']",[''],"['langen Atem haben', 'Fähigkeit, an Dingen dranzubleiben']"
Durchsetzungsfähigkeit,s,,unconscious_bias,agentic,hard-hearted,"['Umsetzungsfreude', 'Fokus', 'Effizienz', 'Regsamkeit', 'Freude am Vertreten des eigenen Standpunkts', 'Fähigkeit, wirkungsvoll zu kommunizieren', 'Bereitschaft, (...) zu vertreten', 'Fähigkeit, andere für (gemeinsame Ziele, Ideen, Pläne) einzunehmen', 'Energie und Kompetenz, Stakeholder mitzureißen']",[''],"['Umsetzungsfreude', 'Fokus', 'Effizienz', 'Regsamkeit', 'Freude am Vertreten des eigenen Standpunkts', 'Fähigkeit, wirkungsvoll zu kommunizieren', 'Bereitschaft, (...) zu vertreten', 'Fähigkeit, andere für (gemeinsame Ziele, Ideen, Pläne) einzunehmen', 'Energie und Kompetenz, Stakeholder mitzureißen']"
Durchsetzungskraft,s,,unconscious_bias,agentic,hard-hearted,"['Umsetzungsfreude', 'Fokus', 'Effizienz', 'Regsamkeit', 'Freude am Vertreten des eigenen Standpunkts', 'Fähigkeit, wirkungsvoll zu kommunizieren', 'Bereitschaft, (...) zu vertreten', 'Fähigkeit, andere für (gemeinsame Ziele, Ideen, Pläne) einzunehmen', 'Energie und Kompetenz, Stakeholder mitzureißen']",[''],"['Umsetzungsfreude', 'Fokus', 'Effizienz', 'Regsamkeit', 'Freude am Vertreten des eigenen Standpunkts', 'Fähigkeit, wirkungsvoll zu kommunizieren', 'Bereitschaft, (...) zu vertreten', 'Fähigkeit, andere für (gemeinsame Ziele, Ideen, Pläne) einzunehmen', 'Energie und Kompetenz, Stakeholder mitzureißen']"
Durchsetzungsstärke,s,,unconscious_bias,agentic,hard-hearted,"['Umsetzungsfreude', 'Fokus', 'Effizienz', 'Regsamkeit', 'Freude am Vertreten des eigenen Standpunkts', 'Fähigkeit, wirkungsvoll zu kommunizieren', 'Bereitschaft, (...) zu vertreten', 'Fähigkeit, andere für (gemeinsame Ziele, Ideen, Pläne) einzunehmen', 'Energie und Kompetenz, Stakeholder mitzureißen']",[''],"['Umsetzungsfreude', 'Fokus', 'Effizienz', 'Regsamkeit', 'Freude am Vertreten des eigenen Standpunkts', 'Fähigkeit, wirkungsvoll zu kommunizieren', 'Bereitschaft, (...) zu vertreten', 'Fähigkeit, andere für (gemeinsame Ziele, Ideen, Pläne) einzunehmen', 'Energie und Kompetenz, Stakeholder mitzureißen']"
Durchsetzungsvermögen,s,,unconscious_bias,agentic,hard-hearted,"['Umsetzungsfreude', 'Fokus', 'Effizienz', 'Regsamkeit', 'Freude am Vertreten des eigenen Standpunkts', 'Fähigkeit, wirkungsvoll zu kommunizieren', 'Bereitschaft, (...) zu vertreten', 'Fähigkeit, andere für (gemeinsame Ziele, Ideen, Pläne) einzunehmen', 'Energie und Kompetenz, Stakeholder mitzureißen']",[''],"['Umsetzungsfreude', 'Fokus', 'Effizienz', 'Regsamkeit', 'Freude am Vertreten des eigenen Standpunkts', 'Fähigkeit, wirkungsvoll zu kommunizieren', 'Bereitschaft, (...) zu vertreten', 'Fähigkeit, andere für (gemeinsame Ziele, Ideen, Pläne) einzunehmen', 'Energie und Kompetenz, Stakeholder mitzureißen']"
Ehrgeiz,s,,unconscious_bias,agentic,competitive,"['Fleiß', 'Eifer', 'Strebsamkeit', 'Engagement', 'Entwicklungsmotivation', 'unternehmerische Haltung', 'Freude an mehr Verantwortung', 'Freude am Setzen und Verwirklichen von Zielen', 'Interesse an persönlichem Wachstum', 'Engagement für (gemeinsame/gesetzte) Ziele/Meilensteine', 'Freude am Weiterkommen']",[''],"['Fleiß', 'Eifer', 'Strebsamkeit', 'Engagement', 'Entwicklungsmotivation', 'unternehmerische Haltung', 'Freude an mehr Verantwortung', 'Freude am Setzen und Verwirklichen von Zielen', 'Interesse an persönlichem Wachstum', 'Engagement für (gemeinsame/gesetzte) Ziele/Meilensteine', 'Freude am Weiterkommen']"
Eigenständigkeit,s,,unconscious_bias,agentic,cultural,"['Fokussierung auf Aufgaben', 'Freude an Verantwortung', 'Bereitschaft, Kompetenz einsetzen']",[''],"['Fokussierung auf Aufgaben', 'Freude an Verantwortung', 'Bereitschaft, Kompetenz einsetzen']"
Eigenverantwortung,s,,unconscious_bias,agentic,cultural,"['Freude an Verantwortung', 'Gewissenhaftigkeit', 'Pflichtbewusstsein', 'Zuverlässigkeit', 'Bereitschaft, das Nötige zu tun', 'unternehmerisches Denken']",[''],"['Freude an Verantwortung', 'Gewissenhaftigkeit', 'Pflichtbewusstsein', 'Zuverlässigkeit', 'Bereitschaft, das Nötige zu tun', 'unternehmerisches Denken']"
Einsatzbereitschaft,s,,unconscious_bias,agentic,rough,"['Engagement', 'Begeisterung', 'Umsetzungsfreude']",[''],"['Engagement', 'Begeisterung', 'Umsetzungsfreude']"
Einsatzwille,s,,unconscious_bias,agentic,rough,"['Engagement', 'Begeisterung', 'Umsetzungsfreude']",[''],"['Engagement', 'Begeisterung', 'Umsetzungsfreude']"
Entscheidung,s,,unconscious_bias,agentic,rough,"['Konsens', 'Beschluss', 'Einigung', 'Einschätzung', 'Absicht', 'Vorhaben', 'Vereinbarung', 'Übereinkunft', 'Übereinkommen']",[''],"['Konsens', 'Beschluss', 'Einigung', 'Einschätzung', 'Absicht', 'Vorhaben', 'Vereinbarung', 'Übereinkunft', 'Übereinkommen']"
Entschiedenheit,s,,unconscious_bias,agentic,rough,"['Deutlichkeit', 'Klarheit', 'Engagement']",[''],"['Deutlichkeit', 'Klarheit', 'Engagement']"
Entschlossenheit,s,,unconscious_bias,agentic,rough,"['Umsetzungsfreude', 'Herzhaftigkeit', 'Pragmatismus', 'Unkompliziertheit']",[''],"['Umsetzungsfreude', 'Herzhaftigkeit', 'Pragmatismus', 'Unkompliziertheit']"
Entschlussfreudigkeit,s,,unconscious_bias,agentic,rough,"['Umsetzungsfreude', 'Pragmatismus', 'Beweglichkeit', 'Unkompliziertheit']",[''],"['Umsetzungsfreude', 'Pragmatismus', 'Beweglichkeit', 'Unkompliziertheit']"
Entschlusskraft,s,,unconscious_bias,agentic,rough,"['Umsetzungsfreude', 'Pragmatismus', 'Beweglichkeit', 'Unkompliziertheit']",[''],"['Umsetzungsfreude', 'Pragmatismus', 'Beweglichkeit', 'Unkompliziertheit']"
Erfolgshunger,s,,unconscious_bias,agentic,competitive,"['Engagement', 'Begeisterung', 'Umsetzungsfreude', 'Motivation, auf Meilensteine zu erarbeiten', 'Wunsch, die Visionen zu realisieren']",[''],"['Engagement', 'Begeisterung', 'Umsetzungsfreude', 'Motivation, auf Meilensteine zu erarbeiten', 'Wunsch, die Visionen zu realisieren']"
Eroberung,s,,unconscious_bias,agentic,competitive,"['Entdeckung', 'Erwerb neuer Kenntnisse', 'inspiriert durch das Unbekannte']",[''],"['Entdeckung', 'Erwerb neuer Kenntnisse', 'inspiriert durch das Unbekannte']"
Extrameile,s,,unconscious_bias,agentic,competitive,['Engagement'],[''],['Engagement']
Feindseligkeit,s,,unconscious_bias,agentic,competitive,"['Engagement', 'Bereitschaft, für (...) zu argumentieren', 'Begeisterung, für (...) einzutreten']",[''],"['Engagement', 'Bereitschaft, für (...) zu argumentieren', 'Begeisterung, für (...) einzutreten']"
Freimütigkeit,s,,unconscious_bias,agentic,rough,"['Offenherzigkeit', 'Engagement', 'Geradlinigkeit', 'zur eigenen Meinung stehen', 'seine Arbeit vertreten']",[''],"['Offenherzigkeit', 'Engagement', 'Geradlinigkeit', 'zur eigenen Meinung stehen', 'seine Arbeit vertreten']"
Führung,s,,unconscious_bias,agentic,hard-hearted,"['Leitung', 'Lenkung', 'Management', 'Team-Anleitung', 'Team-Lenkung', 'Team-Verantwortung', 'Person, die die Vision kommuniziert', 'Person, die sich um das Team kümmert', 'jemand, der das Team unterstützt und coacht', 'Mensch, der mit Rat und Tat zur Seite steht']",[''],"['Leitung', 'Lenkung', 'Management', 'Team-Anleitung', 'Team-Lenkung', 'Team-Verantwortung', 'Person, die die Vision kommuniziert', 'Person, die sich um das Team kümmert', 'jemand, der das Team unterstützt und coacht', 'Mensch, der mit Rat und Tat zur Seite steht']"
Gewalt,s,,unconscious_bias,agentic,hard-hearted,"['Aufsicht', 'Verantwortung', 'Schaffenskraft', 'Entscheidungsbefugnis', 'Gewicht', 'Einfluss', 'Stellung', 'Anerkennung', 'Geltung', 'Ansehen', 'Reichweite', 'Antrieb', 'Anstrengung', 'Zuverlässigkeit', 'Konsistenz', 'Beständigkeit', 'Dynamik', 'Schwung', 'Intensität']",[''],"['Aufsicht', 'Verantwortung', 'Schaffenskraft', 'Entscheidungsbefugnis', 'Gewicht', 'Einfluss', 'Stellung', 'Anerkennung', 'Geltung', 'Ansehen', 'Reichweite', 'Antrieb', 'Anstrengung', 'Zuverlässigkeit', 'Konsistenz', 'Beständigkeit', 'Dynamik', 'Schwung', 'Intensität']"
Grundsatz,s,,unconscious_bias,agentic,rough,"['Regel', 'Reglement', 'Leitlinie', 'Richtschnur', 'Leitidee', 'Erkenntnis', 'Theorem', 'Satzung', 'Norm', 'Anweisung', 'Lehre', 'Devise', 'Wahlspruch', 'Motto', 'Brauch', 'Muster', 'Slogan', 'Ordnung', 'Gesetzmässigkeit']",[''],"['Regel', 'Reglement', 'Leitlinie', 'Richtschnur', 'Leitidee', 'Erkenntnis', 'Theorem', 'Satzung', 'Norm', 'Anweisung', 'Lehre', 'Devise', 'Wahlspruch', 'Motto', 'Brauch', 'Muster', 'Slogan', 'Ordnung', 'Gesetzmässigkeit']"
Grundsätze,s,,unconscious_bias,agentic,rough,"['Regeln', 'Leitlinien', 'Satzungen', 'Anweisungen', 'Lehre', 'Wahlsprüche', 'Mottos', 'Bräuche', 'Muster', 'Werte', 'Normen']",[''],"['Regeln', 'Leitlinien', 'Satzungen', 'Anweisungen', 'Lehre', 'Wahlsprüche', 'Mottos', 'Bräuche', 'Muster', 'Werte', 'Normen']"
Haben wir keine anderen Probleme?,i,26-01-2022,unconscious_bias,agentic,,"['Was spricht dafür, sich damit zu befassen?', 'Warum hat dieses Thema für uns Priorität?']",[''],"['Was spricht dafür, sich damit zu befassen?', 'Warum hat dieses Thema für uns Priorität?']"
Hartnäckigkeit,s,,unconscious_bias,agentic,competitive,"['Nachhaltigkeit', 'Stetigkeit', 'Fokussiertheit', 'Geduld', 'Gelassenheit', 'Resilienz', 'Beständigkeit']",[''],"['Nachhaltigkeit', 'Stetigkeit', 'Fokussiertheit', 'Geduld', 'Gelassenheit', 'Resilienz', 'Beständigkeit']"
Herausforderung,s,,unconscious_bias,agentic,competitive,"['wichtiger Meilenstein', 'komplexe Frage', 'Unwägbarkeit', 'Ziel, das man mit vereinten Kräften erreichen kann', 'Meilenstein, der mit Initiative und Engagement gemeinsam zu erreichen ist']",[''],"['wichtiger Meilenstein', 'komplexe Frage', 'Unwägbarkeit', 'Ziel, das man mit vereinten Kräften erreichen kann', 'Meilenstein, der mit Initiative und Engagement gemeinsam zu erreichen ist']"
Hunger,s,,unconscious_bias,agentic,competitive,"['Interesse', 'Begeisterung', 'Motivation', 'Fleiß', 'Freude am Erwirken von Meilensteinen', 'Wunsch, Visionen zu realisieren']",[''],"['Interesse', 'Begeisterung', 'Motivation', 'Fleiß', 'Freude am Erwirken von Meilensteinen', 'Wunsch, Visionen zu realisieren']"
Härte,s,,unconscious_bias,agentic,hard-hearted,"['Unbeirrbarkeit', 'Resilienz', 'Komplexität', 'Fokussiertheit', 'Geradlinigkeit', 'Fokussierung auf ein Ziel', 'Fähigkeit, sich nicht vom Weg abbringen zu lassen']",[''],"['Unbeirrbarkeit', 'Resilienz', 'Komplexität', 'Fokussiertheit', 'Geradlinigkeit', 'Fokussierung auf ein Ziel', 'Fähigkeit, sich nicht vom Weg abbringen zu lassen']"
Intellekt,s,,unconscious_bias,agentic,corporate,"['Denkvermögen', 'Wissen', 'Erfahrung', 'Geisteskraft Beobachtungsgabe', 'Weitblick', 'Scharfblick', 'Durchblick', 'Gespür', 'Spürsinn', 'Fassungsvermögen', 'Erkenntnisfähigkeit', 'Einsicht', 'Urteilskraft', 'Vernunft', 'Verstand', 'Denkkraft']",[''],"['Denkvermögen', 'Wissen', 'Erfahrung', 'Geisteskraft Beobachtungsgabe', 'Weitblick', 'Scharfblick', 'Durchblick', 'Gespür', 'Spürsinn', 'Fassungsvermögen', 'Erkenntnisfähigkeit', 'Einsicht', 'Urteilskraft', 'Vernunft', 'Verstand', 'Denkkraft']"
Jagd,s,,unconscious_bias,agentic,competitive,"['Suche', 'Eile', 'Spiel', 'Revier', 'Bemühung, (Meilensteine, Ziele) zu erreichen', 'Serie von Widrigkeiten', 'komplexe Situation']",[''],"['Suche', 'Eile', 'Spiel', 'Revier', 'Bemühung, (Meilensteine, Ziele) zu erreichen', 'Serie von Widrigkeiten', 'komplexe Situation']"
Kampf,s,,unconscious_bias,agentic,competitive,"['Einsatz', 'Engagement', 'Teilnahme', 'Treffen', 'Bestreben', 'Vorhaben', 'Streben', 'Zweck', 'Plan', 'Anstrengung', 'Tatkraft', 'Spannungszustand', 'Verteidigung', 'Schutz']",[''],"['Einsatz', 'Engagement', 'Teilnahme', 'Treffen', 'Bestreben', 'Vorhaben', 'Streben', 'Zweck', 'Plan', 'Anstrengung', 'Tatkraft', 'Spannungszustand', 'Verteidigung', 'Schutz']"
Konkurrent,s,26-01-2022,unconscious_bias,agentic,,"['Konkurrenz', 'Wettbewerbsteilnehmende', 'Marktteilnehmende']","['Wettbewerbsteilnehmende', 'Marktteilnehmende', 'Konkurrent~innen~ und ~Konkurrenten', 'Konkurrenz']","['Konkurrenz', 'Konkurrent~in~/~Konkurrent', 'Wettbewerbsteilnehmende', 'Marktteilnehmende', 'Konkurrent~innen~ und ~Konkurrenten']"
Konkurrenz,s,,unconscious_bias,agentic,competitive,"['Wettbewerbsteilnehmende', 'Marktteilnehmende', 'jemand, der ebenfalls auf gesetzte Ziele hinarbeitet']",[''],"['Wettbewerbsteilnehmende', 'Marktteilnehmende', 'jemand, der ebenfalls auf gesetzte Ziele hinarbeitet']"
Konkurrenzdruck,s,,unconscious_bias,agentic,competitive,"['Marktmechanismen', 'Inspiration/Motivation durch andere, die ebenfalls auf gesetzte Ziele hinarbeiten']",['Marktmechanismen'],"['Inspiration/Motivation durch andere, die ebenfalls auf gesetzte Ziele hinarbeiten', 'Marktmechanismen']"
Kraft,s,,unconscious_bias,agentic,hard-hearted,"['Energie', 'Vitalität', 'Können', 'Enthusiasmus', 'Initiative', 'Tatkraft', 'Resilienz', 'Talent', 'Wissen', 'Erfahrung', 'Kenntnis', 'Kompetenz', 'Stabilität', 'Beständigkeit', 'Schwung', 'Engagement']",[''],"['Energie', 'Vitalität', 'Können', 'Enthusiasmus', 'Initiative', 'Tatkraft', 'Resilienz', 'Talent', 'Wissen', 'Erfahrung', 'Kenntnis', 'Kompetenz', 'Stabilität', 'Beständigkeit', 'Schwung', 'Engagement']"
Leistungsbereitschaft,s,,unconscious_bias,agentic,competitive,"['Tatkraft', 'Engagement', 'Fleiß', 'Strebsamkeit', 'Enthusiasmus in der Umsetzung']",[''],"['Tatkraft', 'Engagement', 'Fleiß', 'Strebsamkeit', 'Enthusiasmus in der Umsetzung']"
Logik,s,,unconscious_bias,agentic,corporate,"['Schlüssigkeit', 'Richtigkeit', 'geistige Reife', 'Angemessenheit', 'Folgerichtigkeit', 'Prozesstreue', 'Zusammenhang', 'Konzept']",[''],"['Schlüssigkeit', 'Richtigkeit', 'geistige Reife', 'Angemessenheit', 'Folgerichtigkeit', 'Prozesstreue', 'Zusammenhang', 'Konzept']"
Macht,s,,unconscious_bias,agentic,competitive,"['Energie', 'Anleitung', 'Können', 'Ansehen', 'Initiative', 'Tatkraft', 'Resilienz', 'Kontrolle', 'Stellung', 'Kompetenz', 'Befugnis', 'Position', 'Einfluss', 'Mittel', 'Schwung', 'Engagement', 'Disziplin', 'Geduld', 'Bedacht', 'Bevollmächtigung']",[''],"['Energie', 'Anleitung', 'Können', 'Ansehen', 'Initiative', 'Tatkraft', 'Resilienz', 'Kontrolle', 'Stellung', 'Kompetenz', 'Befugnis', 'Position', 'Einfluss', 'Mittel', 'Schwung', 'Engagement', 'Disziplin', 'Geduld', 'Bedacht', 'Bevollmächtigung']"
Mitkonkurrent,s,26-01-2022,unconscious_bias,agentic,,"['Konkurrenz', 'Wettbewerbsteilnehmende', 'Marktteilnehmende']","['Wettbewerbsteilnehmende', 'Marktteilnehmende', 'Mitkonkurrent~innen~ und ~Mitkonkurrenten', 'Konkurrenz']","['Konkurrenz', 'Mitkonkurrent~in~/~Mitkonkurrent', 'Wettbewerbsteilnehmende', 'Marktteilnehmende', 'Mitkonkurrent~innen~ und ~Mitkonkurrenten']"
Muss das sein?,i,26-01-2022,unconscious_bias,agentic,,"['Was spricht dafür?', 'Hilft uns das beim Erreichen unserer Meilensteine?', 'Wie hilft uns das bei der Umsetzung?']",[''],"['Was spricht dafür?', 'Hilft uns das beim Erreichen unserer Meilensteine?', 'Wie hilft uns das bei der Umsetzung?']"
Mut,s,,unconscious_bias,agentic,rough,"['Spaß an Neuem', 'Experimentierfreude', 'Optimismus', 'Offenheit für neue Entdeckungen', 'Spaß am Ausprobieren', 'Vertrauen in die persönlichen Kompetenzen']",[''],"['Spaß an Neuem', 'Experimentierfreude', 'Optimismus', 'Offenheit für neue Entdeckungen', 'Spaß am Ausprobieren', 'Vertrauen in die persönlichen Kompetenzen']"
Mutprobe,s,,unconscious_bias,agentic,rough,"['Experiment', 'Sicherheitstest', 'Versuch', 'Test', 'Abenteuer', 'Prüfung', 'Testlauf', 'Unterfangen']",[''],"['Experiment', 'Sicherheitstest', 'Versuch', 'Test', 'Abenteuer', 'Prüfung', 'Testlauf', 'Unterfangen']"
Powerfrau,s,18-01-2022,unconscious_bias,agentic,,"['Energiebündel', 'Tatmensch', 'Multitalent', 'vielseitig begabter Mensch', 'Vorbild', 'Person, die inspiriert', 'jemand mit Freude an Verantwortung', 'Person, die mit Rat und Tat zur Seite steht']","['Lebenskünstler~innen~ und ~Lebenskünstler', 'Allrounder~innen~ und ~Allrounder']","['Energiebündel', 'Tatmensch', 'Multitalent', 'Lebenskünstler~in~/~Lebenskünstler', 'Allrounder~in~/~Allrounder', 'vielseitig begabter Mensch', 'Vorbild', 'Person, die inspiriert', 'jemand mit Freude an Verantwortung', 'Person, die mit Rat und Tat zur Seite steht', 'Lebenskünstler~innen~ und ~Lebenskünstler', 'Allrounder~innen~ und ~Allrounder']"
Prinzip,s,,unconscious_bias,agentic,rough,"['Ethik', 'Methode', 'Wert', 'Richtlinie', 'Regel', 'Reglement', 'Leitlinie', 'Richtschnur', 'Leitidee', 'Erkenntnis', 'Theorem', 'Satzung', 'Norm', 'Anweisung', 'Lehre', 'Devise', 'Wahlspruch', 'Motto', 'Brauch', 'Muster', 'Slogan', 'Ordnung', 'Gesetzmässigkeit']",[''],"['Ethik', 'Methode', 'Wert', 'Richtlinie', 'Regel', 'Reglement', 'Leitlinie', 'Richtschnur', 'Leitidee', 'Erkenntnis', 'Theorem', 'Satzung', 'Norm', 'Anweisung', 'Lehre', 'Devise', 'Wahlspruch', 'Motto', 'Brauch', 'Muster', 'Slogan', 'Ordnung', 'Gesetzmässigkeit']"
Problem,s,,unconscious_bias,agentic,competitive,"['Kernfrage', 'komplexe Aufgabe', 'schwere Frage', 'schwieriges Thema', 'komplexe Materie', 'Fragestellung', 'Schwachpunkt', 'Beeinträchtigung', 'Erschwernis', 'Haken', 'Schwierigkeit', 'Hindernis', 'Engpass', 'Komplikation', 'Fehler', 'Bürde', 'Hürde', 'Fallstrick', 'missliche Lage', 'Unsicherheit']",[''],"['Kernfrage', 'komplexe Aufgabe', 'schwere Frage', 'schwieriges Thema', 'komplexe Materie', 'Fragestellung', 'Schwachpunkt', 'Beeinträchtigung', 'Erschwernis', 'Haken', 'Schwierigkeit', 'Hindernis', 'Engpass', 'Komplikation', 'Fehler', 'Bürde', 'Hürde', 'Fallstrick', 'missliche Lage', 'Unsicherheit']"
Risiko,s,,unconscious_bias,agentic,rough,"['Neues', 'Option', 'Experiment', 'Unterfangen', 'Vorhaben', 'Versuch']",[''],"['Neues', 'Option', 'Experiment', 'Unterfangen', 'Vorhaben', 'Versuch']"
Rücksichtslosigkeit,s,26-01-2022,unconscious_bias,agentic,,"['Fokus auf die eigenen Aufgaben', 'Fähigkeit, Reibung zu bewältigen', 'Engagement, sich vom Weg nicht abbringen zu lassen,', 'Festhalten an den eigenen Wertigkeiten']",[''],"['Fokus auf die eigenen Aufgaben', 'Fähigkeit, Reibung zu bewältigen', 'Engagement, sich vom Weg nicht abbringen zu lassen,', 'Festhalten an den eigenen Wertigkeiten']"
Selbstbedienungsmentalität,s,26-01-2022,unconscious_bias,agentic,,"['Vorteilsnahme', 'persönliche Bereicherung', 'Ausschöpfen der rechtlich verfügbaren Möglichkeiten', 'Wahrnehmen der eigenen Rechte']",[''],"['Vorteilsnahme', 'persönliche Bereicherung', 'Ausschöpfen der rechtlich verfügbaren Möglichkeiten', 'Wahrnehmen der eigenen Rechte']"
Selbstbehauptung,s,,unconscious_bias,agentic,competitive,"['Umsetzungsfreude', 'Vertreten der eigenen Meinung/Arbeit', 'Vertrauen in die eigene Kompetenz']",[''],"['Umsetzungsfreude', 'Vertreten der eigenen Meinung/Arbeit', 'Vertrauen in die eigene Kompetenz']"
Selbstbewusstsein,s,,unconscious_bias,agentic,competitive,"['Gelassenheit', 'Entspanntheit', 'Vertrauen in eigene Kompetenz', 'Vertreten der Meinung/Arbeit']",[''],"['Gelassenheit', 'Entspanntheit', 'Vertrauen in eigene Kompetenz', 'Vertreten der Meinung/Arbeit']"
Selbstständigkeit,s,,unconscious_bias,agentic,competitive,"['Umsetzungsfreude', 'Bereitschaft, auf die Kompetenz zu vertrauen', 'Fokus auf Aufgaben', 'Freude an Verantwortung', 'Spaß am Ergreifen der Initiative']",[''],"['Umsetzungsfreude', 'Bereitschaft, auf die Kompetenz zu vertrauen', 'Fokus auf Aufgaben', 'Freude an Verantwortung', 'Spaß am Ergreifen der Initiative']"
Selbstvertrauen,s,,unconscious_bias,agentic,competitive,"['Umsetzungsfreude', 'Bereitschaft, auf die Kompetenz zu vertrauen', 'Fokus auf Aufgaben', 'Freude an Verantwortung', 'Spaß am Ergreifen der Initiative']",[''],"['Umsetzungsfreude', 'Bereitschaft, auf die Kompetenz zu vertrauen', 'Fokus auf Aufgaben', 'Freude an Verantwortung', 'Spaß am Ergreifen der Initiative']"
