Lemma,subcategory,is active,Wordtype,Forms,Alternative_Singular,Alternative_Plural,Alternative_Singular_split,Alternative_Plural_split
Lehrtochter,,,,(tochter|töchter)?,Nachwuchskraft | Person in Ausbildung | auszubildende Person,Lernende | Auszubildende,"['Nachwuchskraft', 'Person in Ausbildung', 'auszubildende Person']","['Lernende', 'Auszubildende']"
Kandidat,,1.0,s,(en)?,"Person, die kandidiert | Kandidatin/Kandidat | Kandidat:in",Kandidierende | Kandidat:innen | Kandidatinnen und Kandidaten,"['Person, die kandidiert', 'Kandidatin/Kandidat', 'Kandidat:in']","['Kandidierende', 'Kandidat:innen', 'Kandidatinnen und Kandidaten']"
Arbeitgeber,,1.0,s,n?,"Person (auch Firma, Einrichtung, etc.), die Arbeitsplätze zur Verfügung stellt | Arbeitgeberin (wenn GmbH, Einzelfirma oder AG) | arbeitgebendes Unternehmen | Arbeitgeberin/Arbeitgeber | Arbeitgeber:in","Arbeitgebende | Personen/Firmen/Einrichtungen, die Arbeitsplätze zur Verfügung stellen | Arbeitgeberinnen (wenn GmbH, Einzelfirma oder AG) | arbeitgebende Unternehmen | Betriebe | Arbeitgeber:innen | Arbeitgeberinnen und Arbeitgeber","['Person (auch Firma, Einrichtung, etc.), die Arbeitsplätze zur Verfügung stellt', 'Arbeitgeberin (wenn GmbH, Einzelfirma oder AG)', 'arbeitgebendes Unternehmen', 'Arbeitgeberin/Arbeitgeber', 'Arbeitgeber:in']","['Arbeitgebende', 'Personen/Firmen/Einrichtungen, die Arbeitsplätze zur Verfügung stellen', 'Arbeitgeberinnen (wenn GmbH, Einzelfirma oder AG)', 'arbeitgebende Unternehmen', 'Betriebe', 'Arbeitgeber:innen', 'Arbeitgeberinnen und Arbeitgeber']"
Vermittler,,1.0,s,s?,vermittelnde Person | Vermittlerin/Vermittler | Vermittler:in,Vermittlung | Vermittler:innen | Vermittlerinnen und Vermittler,"['vermittelnde Person', 'Vermittlerin/Vermittler', 'Vermittler:in']","['Vermittlung', 'Vermittler:innen', 'Vermittlerinnen und Vermittler']"
Brückenbauer,,1.0,s,s?,"vermittelnde Person | Person, die Brücken baut | Brückenbauer:in",Brückenbauer:innen | Brückenbauerinnen und Brückenbauer ,"['vermittelnde Person', 'Person, die Brücken baut', 'Brückenbauer:in']","['Brückenbauer:innen', 'Brückenbauerinnen und Brückenbauer ']"
Botschafter,,1.0,s,s?,vermittelnde Person | vertretende Person | Botschafter:in,Vertretung | Botschafter:innen | Botschafterinnen und Botschafter ,"['vermittelnde Person', 'vertretende Person', 'Botschafter:in']","['Vertretung', 'Botschafter:innen', 'Botschafterinnen und Botschafter ']"
Lieferant,,1.0,s,en?,Lieferfirma | lieferndes Unternehmen | Lieferunternehmen,Lieferfirmen | liefernde Unternehmen | Lieferunternehmen | Liefernde | Zustellende,"['Lieferfirma', 'lieferndes Unternehmen', 'Lieferunternehmen']","['Lieferfirmen', 'liefernde Unternehmen', 'Lieferunternehmen', 'Liefernde', 'Zustellende']"
Dienstleister,,1.0,s,s?,dienstleistende Person | Person im Dientleistungssektor | Dienstleisterin/Dienstleiter | Dienstleister:in,Dienstleistende | Dienstleistungsbetriebe | dienstleistende Personen | Personen im Dienstleistungssektor | Dienstleister:innen | Dienstleisterinnen und Dienstleister,"['dienstleistende Person', 'Person im Dientleistungssektor', 'Dienstleisterin/Dienstleiter', 'Dienstleister:in']","['Dienstleistende', 'Dienstleistungsbetriebe', 'dienstleistende Personen', 'Personen im Dienstleistungssektor', 'Dienstleister:innen', 'Dienstleisterinnen und Dienstleister']"
Kunde,,,,(e|en),Kundschaft | Kundin/Kunde | Kund:in,Kundschaft | Kund:innen | Kundinnen und Kunden,"['Kundschaft', 'Kundin/Kunde', 'Kund:in']","['Kundschaft', 'Kund:innen', 'Kundinnen und Kunden']"
Rangierer,,,,,Rangiererin/Rangierer | Rangierer:in | Rangierperson,Rangierpersonal | Rangiererinnen | Rangiererinnen und Rangierer,"['Rangiererin/Rangierer', 'Rangierer:in', 'Rangierperson']","['Rangierpersonal', 'Rangiererinnen', 'Rangiererinnen und Rangierer']"
