Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
brillant,a,,unconscious_bias,exaggerating,"['glänzend', 'gebündelt', 'fokussiert', 'klar', 'kreativ', 'scharfsinnig', 'begabt', 'wirkungsvoll', 'einnehmend', 'technisch kreativ', 'gekonnt', 'famos', 'reich an Obertönen', 'dass es eine Freude ist', 'eine wahre Wonne']",[''],"['glänzend', 'gebündelt', 'fokussiert', 'klar', 'kreativ', 'scharfsinnig', 'begabt', 'wirkungsvoll', 'einnehmend', 'technisch kreativ', 'gekonnt', 'famos', 'reich an Obertönen', 'dass es eine Freude ist', 'eine wahre Wonne']"
dunkelhäutig,a,,unconscious_bias,racist_source,['of color'],[''],['of color']
eindrücklich,a,,unconscious_bias,exaggerating,"['eindringlich', 'eloquent', 'in eindringlichen Bildern', 'bildlich', 'emphatisch', 'anschaulich']",[''],"['eindringlich', 'eloquent', 'in eindringlichen Bildern', 'bildlich', 'emphatisch', 'anschaulich']"
einzigartig,a,,unconscious_bias,exaggerating,"['spezifisch', 'eindeutig', 'kreativ', 'einfallsreich', 'überraschend', 'ausgefallen']",[''],"['spezifisch', 'eindeutig', 'kreativ', 'einfallsreich', 'überraschend', 'ausgefallen']"
erfolgreich,a,,unconscious_bias,exaggerating,"['fähig', 'fruchtbringend', 'gelungen', 'gewinnbringend', 'produktiv', 'Meilensteine erreicht', 'mit gutem Ergebnis', 'Aufgaben gemeinsam gelöst', 'mit Leichtigkeit bewältigt', 'mit Engagement zu Ende gebracht']",[''],"['fähig', 'fruchtbringend', 'gelungen', 'gewinnbringend', 'produktiv', 'Meilensteine erreicht', 'mit gutem Ergebnis', 'Aufgaben gemeinsam gelöst', 'mit Leichtigkeit bewältigt', 'mit Engagement zu Ende gebracht']"
erstklassig,a,,unconscious_bias,exaggerating,"['mit einem Auge für Qualität', 'zuverlässig und präzise', 'ansprechend', 'gehoben', 'rein', 'bevorzugt', 'sorgfältig ausgewählt']",[''],"['mit einem Auge für Qualität', 'zuverlässig und präzise', 'ansprechend', 'gehoben', 'rein', 'bevorzugt', 'sorgfältig ausgewählt']"
etabliert,a,,unconscious_bias,exaggerating,"['anerkannt', 'akzeptiert', 'sich einen Namen gemacht habend', 'verwurzelt', 'eingerichtet', 'geltend', 'eingeführt', 'bekannt', 'bewährt', 'aufgebaut']",[''],"['anerkannt', 'akzeptiert', 'sich einen Namen gemacht habend', 'verwurzelt', 'eingerichtet', 'geltend', 'eingeführt', 'bekannt', 'bewährt', 'aufgebaut']"
exzellent,a,,unconscious_bias,exaggerating,"['wertvoll', 'gut', 'qualitätsorientiert', 'mit Sinn für Qualität', 'von besonderer Qualität']",[''],"['wertvoll', 'gut', 'qualitätsorientiert', 'mit Sinn für Qualität', 'von besonderer Qualität']"
fantastisch,a,,unconscious_bias,exaggerating,"['inspirierend', 'begeisternd', 'motivierend']",[''],"['inspirierend', 'begeisternd', 'motivierend']"
fundiert,a,,unconscious_bias,exaggerating,"['mit Know-how', 'mit Erfahrung']",[''],"['mit Know-how', 'mit Erfahrung']"
führend,a,,unconscious_bias,exaggerating,"['bedeutend', 'wichtig', 'bekannt', 'Maßstäbe setzend', 'einflußreich', 'richtungweisend', 'tonangebend', 'wegweisend']",[''],"['bedeutend', 'wichtig', 'bekannt', 'Maßstäbe setzend', 'einflußreich', 'richtungweisend', 'tonangebend', 'wegweisend']"
gelb,a,,unconscious_bias,racist_source,['of Color'],[''],['of Color']
gewandt,a,,unconscious_bias,exaggerating,"['flexibel', 'geschickt', 'umsichtig', 'diplomatisch', 'behände', 'beweglich', 'eloquent', 'anpassungsfähig', 'routiniert']",[''],"['flexibel', 'geschickt', 'umsichtig', 'diplomatisch', 'behände', 'beweglich', 'eloquent', 'anpassungsfähig', 'routiniert']"
herausragend,a,,unconscious_bias,exaggerating,"['kreativ', 'einfallsreich', 'gut', 'überraschend', 'eindrucksvoll', 'erfreulich', 'zur großen Zufriedenheit aller']",[''],"['kreativ', 'einfallsreich', 'gut', 'überraschend', 'eindrucksvoll', 'erfreulich', 'zur großen Zufriedenheit aller']"
hervorragend,a,,unconscious_bias,exaggerating,"['kreativ', 'einfallsreich', 'gut', 'überraschend', 'eindrucksvoll', 'erfreulich', 'zur großen Zufriedenheit aller']",[''],"['kreativ', 'einfallsreich', 'gut', 'überraschend', 'eindrucksvoll', 'erfreulich', 'zur großen Zufriedenheit aller']"
jugendlich,a,,unconscious_bias,age_young,"['lebendig', 'tatkräftig', 'lebhaft', 'enthusiastisch', 'engagiert', 'energiegeladen', 'vital', 'eifrig', 'anpassungsfähig', 'schwungvoll']",[''],"['lebendig', 'tatkräftig', 'lebhaft', 'enthusiastisch', 'engagiert', 'energiegeladen', 'vital', 'eifrig', 'anpassungsfähig', 'schwungvoll']"
