Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_clean,Pl_all_clean
Abdichter,s,,gendered,titles,,"['Abdichtung', 'Abdichter~in~/~Abdichter']","['Abdichter~innen~ und ~Abdichter', 'Abdichtung']"
Administrator,s,,gendered,titles,,"['Administration', 'Administrator~in~/~Administrator']","['Administrator~innen~ und ~Administratoren', 'Administration']"
Agent,s,,gendered,titles,,"['Agentur', 'Agent~in~/~Agent']","['Agent~innen~ und ~Agenten', 'Agentur']"
Analyst,s,,gendered,titles,,"['Börsenfachkraft', 'Analyse', 'Börsenbeobachtung', 'Analyst~in~/~Analyst', 'Börsenfachkräfte', 'Analysierende', 'Börsenbeobachtende', 'Person, die (...) prüft/interpretiert', 'börsenbeobachtende Person']","['Börsenfachkräfte', 'Analysierende', 'Börsenbeobachtende', 'Analyst~innen~ und ~Analysten', 'Analyse', 'Börsenbeobachtung', 'Personen, die (...) prüfen/interpretieren', 'börsenbeobachtende Personen']"
Angestellter,s,,gendered,titles,,"['Angestellte~/~Angestellte~r', 'Personal', 'Belegschaft', 'Angestellte', 'Mitarbeitende']","['Angestellte', 'Mitarbeitende', 'Personal', 'Belegschaft']"
Antragssteller,s,,gendered,titles,,"['Antragstellung', 'Antragsteller~in~/~Antragsteller', 'Antragsstellende', 'Beantragende', '(gestellte) Anträge', 'Person, die einen Antrag stellt', 'beantragende Person']","['Antragsstellende', 'Beantragende', '(gestellte) Anträge', 'Antragssteller~innen~ und ~Antragssteller', 'Antragstellung', 'Personen, die (...) beantragen', 'antragstellende Personen']"
Apparateglasbläser,s,,gendered,titles,,"['Apparateglasbau', 'Apparateglasbläser~in~/~Apparateglasbläser']","['Apparateglasbläser~innen~ und ~Apparateglasbläser', 'Apparateglasbau']"
Arbeitgeber,s,,gendered,titles,,"['Arbeitgeberin (wenn GmbH, Einzelfirma oder AG)', 'Arbeitgeber~in~/~Arbeitgeber', 'Arbeitgebende', 'arbeitgebende Firma', 'beschäftigendes Unternehmen', 'Person/Firma/Einrichtung, die Arbeitsplätze zur Verfügung stellt', 'Person/Firma/Einrichtung, für die Menschen arbeiten']","['Arbeitgebende', 'Arbeitgeber~innen~ und ~Arbeitgeber', 'Arbeitgeberinnen (wenn GmbH, Einzelfirma oder AG)', 'arbeitgebende Unternehmen', 'Personen/Firmen/Einrichtungen, die Arbeitsplätze zur Verfügung stellen']"
Arbeitskollege,s,,gendered,titles,,"['Teammitglied', 'Arbeitskolleg~in~/~Arbeitskollege', 'Team', 'Personal', 'Belegschaft', 'Teammitglieder', 'Person, die im selben Unternehmen/Team arbeitet', 'Person, die man von der Arbeit kennt']","['Teammitglieder', 'Arbeitskolleg~innen~ und ~Arbeitskollegen', 'Team', 'Personal', 'Belegschaft', 'Personen im selben Team', 'Personen, die im selben Unternehmen arbeiten', 'Personen, die man von der Arbeit kennt']"
Architect,s,,gendered,titles,americanism,"['Baufachperson', 'Architektur', 'Architekt~in~/~Architekt', 'Architektenteam', 'Architekturschaffende', 'Baufachpersonen']","['Architekturschaffende', 'Baufachpersonen', 'Architekt~innen~ und ~Architekten', 'Architektenteam', 'Architektur']"
Architekt,s,,gendered,titles,,"['Baufachperson', 'Architektur', 'Architekt~in~/~Architekt', 'Architektenteam', 'Architekturschaffende', 'Baufachpersonen']","['Architekturschaffende', 'Baufachpersonen', 'Architekt~innen~ und ~Architekten', 'Architektenteam', 'Architektur']"
Assistent,s,,gendered,titles,,"['Assistenz', 'Assistent~in~/~Assistent', 'Assistierende']","['Assistierende', 'Assistent~innen~ und ~Assistenten', 'Assistenz', 'Personen, die assistieren/helfen']"
Auditor,s,,gendered,titles,,"['Audit', 'Wirtschaftsprüfung', 'Betriebsprüfung', 'Überprüfung', 'Auditor~in~/~Auditor', 'Auditierende', 'Person, die den Betrieb prüft']","['Auditierende', 'Auditor~innen~ und ~Auditoren', 'Audit', 'Wirtschaftsprüfung', 'Betriebsprüfung', 'Überprüfung', 'Personen, die den Betrieb prüfen']"
Auszubildender,s,,gendered,titles,,"['Azubi', 'Ausbildung', 'Ausbildungsabteilung', 'Auszubildende~/~Auszubildende~r', 'Auszubildende', 'Person in der Ausbildung']","['Auszubildende', 'Ausbildung', 'Ausbildungsabteilung', 'Personen in der Ausbildung']"
Automatiker,s,,gendered,titles,,"['Automatisierung', 'Automatiker~in~/~Automatike~r']","['Automatiker~innen~ und ~Automatiker', 'Automatisierung']"
Backender,s,,gendered,titles,americanism,"['Back-End-Entwicklung', 'Backender~in~/~Backender', 'Backend-Entwickler~in~/~Backend-Entwickler', 'Person, die den technischen Unterbau entwickelt', 'Person, die das Back-End baut']","['Backender~innen~ und ~Backender', 'Backend-Entwickler~innen~ und ~Backend-Entwickler', 'Back-End-Entwicklung', 'Personen, die den technischen Unterbau entwickeln', 'Personen, die das Back-End bauen']"
Bauer,s,,gendered,titles,,"['Landbau', 'Landwirtschaft', 'Bäuer~in~/~Bauer', 'Landbauende']","['Landbauende', 'Bäuer~innen~ und ~Bauern', 'Landbau', 'Landwirtschaft']"
